Time,Value
0,264017
1,318173
2,637260
3,233564
4,390982
5,368431
6,308218
7,307812
8,390542
9,271690
10,274068
11,237858
12,267417
13,335813
14,314292
15,315338
16,295917
17,297596
18,415974
19,250727
20,343913
21,294453
22,462934
23,296907
24,251118
25,375418
26,236646
27,330810
28,257066
29,419647
30,337866
31,412877
32,536909
33,659200
34,688874
35,303026
36,265539
37,420178
38,614800
39,231245
40,616380
41,385748
42,349240
43,238176
44,333277
45,300784
46,246891
47,241119
48,236969
49,303817
50,256223
51,232696
52,460204
53,262583
54,262672
55,307840
56,249283
57,435542
58,269292
59,466885
60,236536
61,627662
62,251894
63,272420
64,464429
65,247419
66,278236
67,290212
68,245311
69,318429
70,312208
71,237392
72,245861
73,340563
74,255085
75,274609
76,342096
77,329186
78,251743
79,431636
80,259104
81,294543
82,265593
83,343317
84,245554
85,268587
86,322957
87,308559
88,237412
89,242625
90,272009
91,586241
92,307602
93,289802
94,239509
95,283175
96,295420
97,383720
98,309837
99,411294
100,263715
101,476545
102,284861
103,423510
104,296753
105,281492
106,232443
107,486788
108,270081
109,316578
110,256772
111,549563
112,350134
113,268537
114,267073
115,259869
116,333254
117,349892
118,241315
119,421933
120,285447
121,319407
122,427673
123,432774
124,524090
125,299093
126,331776
127,231470
128,246629
129,345567
130,366271
131,232118
132,357908
133,369733
134,230776
135,388260
136,390251
137,327656
138,242108
139,604291
140,267017
141,231270
142,271062
143,464075
144,386111
145,277003
146,268718
147,708632
148,652807
149,241256
150,272545
151,230927
152,316023
153,271755
154,252523
155,241795
156,393126
157,250188
158,331276
159,267000
160,233420
161,255325
162,246803
163,414362
164,763370
165,350326
166,309146
167,287955
168,344938
169,252604
170,444971
171,535472
172,344669
173,389846
174,260412
175,478101
176,249231
177,329681
178,402688
179,325058
180,357201
181,483459
182,252771
183,429014
184,249026
185,324805
186,457243
187,367003
188,363302
189,771425
190,313626
191,305577
192,446343
193,274339
194,435279
195,269585
196,280471
197,408838
198,468128
199,252867
200,241339
201,244126
202,396110
203,515811
204,254579
205,289055
206,327939
207,428806
208,409095
209,397071
210,332114
211,256520
212,333071
213,346836
214,231917
215,240131
216,460820
217,315123
218,258435
219,239321
220,291774
221,233235
222,289831
223,269973
224,284525
225,277104
226,275858
227,239818
228,274054
229,323503
230,310165
231,251228
232,242418
233,367540
234,311561
235,416461
236,236947
237,295369
238,259109
239,267119
240,415700
241,302014
242,265381
243,261795
244,252264
245,493301
246,246573
247,232432
248,259646
249,293902
250,284208
251,249379
252,235309
253,243010
254,379845
255,242116
256,246906
257,250543
258,287820
259,257364
260,274223
261,326231
262,322368
263,261149
264,248386
265,636014
266,264837
267,457701
268,333967
269,362131
270,232384
271,305555
272,414032
273,343476
274,339913
275,615963
276,262555
277,255154
278,238753
279,268756
280,345971
281,299913
282,394754
283,288413
284,408799
285,235161
286,244056
287,245973
288,323324
289,255891
290,235483
291,242324
292,231032
293,357547
294,310869
295,284324
296,493333
297,345809
298,427881
299,358516
300,286574
301,434669
302,368825
303,281998
304,388032
