Time,Value
0,5433
1,4306
2,1526
3,1689
4,3526
5,2014
6,3846
7,3099
8,2236
9,1462
10,2939
11,2551
12,2693
13,1196
14,3429
15,3079
16,1501
17,4092
18,3080
19,-88
20,1866
21,2501
22,1838
23,3829
24,2339
25,1073
26,3465
27,2045
28,2914
29,4017
30,2930
31,2869
32,3877
33,3259
34,1950
35,3817
36,2523
37,1890
38,3324
39,2115
40,4522
41,2687
42,3664
43,3275
44,4558
45,1263
46,3083
47,1789
48,4423
49,4220
50,3238
51,2005
52,2893
53,1901
54,660
55,1788
56,1806
57,2217
58,2418
59,3566
60,3349
61,728
62,2817
63,1308
64,4146
65,2677
66,4857
67,855
68,4496
69,1730
70,3234
71,1588
72,2722
73,2493
74,3634
75,3349
76,2687
77,2357
78,3628
79,2006
80,3131
81,4000
82,4080
83,4850
84,3066
85,3514
86,1836
87,941
88,2413
89,3285
90,1749
91,3171
92,2401
93,4503
94,192
95,2660
96,2692
97,2080
98,3487
99,2563
100,2672
101,1743
102,5456
103,921
104,1964
105,3580
106,1906
107,3591
108,2950
109,3823
110,2619
111,3603
112,3498
113,1008
114,3009
115,3491
116,4506
117,2366
118,2546
119,3333
120,4627
121,2479
122,4067
123,4318
124,2527
125,5032
126,4094
127,1388
128,3004
129,3217
130,2382
131,4410
132,3453
133,1988
134,1776
135,2553
136,2869
137,2620
138,3136
139,2818
140,3140
141,3351
142,3645
143,3833
144,4766
145,3105
146,1836
147,2067
148,2351
149,3799
150,2875
151,2757
152,3868
153,1509
154,3364
155,3007
156,3625
157,2214
158,2206
159,2386
160,893
161,2913
162,1891
163,3651
164,3243
165,2323
166,1713
167,2488
168,2149
169,3776
170,2844
171,3018
172,1870
173,2786
174,2752
175,2720
176,4138
177,2764
178,1571
179,4256
180,3945
181,4426
182,2301
183,2948
184,1732
185,2105
186,3643
187,471
188,2277
189,3577
190,3109
191,2721
192,4960
193,3048
194,1728
195,333
196,2069
197,3925
198,2395
199,4968
200,3302
201,1976
202,3742
203,3078
204,2654
205,3490
206,3060
207,4513
208,3383
209,3034
210,3809
211,2467
212,3705
213,4062
214,2849
215,3101
216,4648
217,2797
218,1843
219,1683
220,1996
221,1998
222,1542
223,4445
224,1794
225,1852
226,5728
227,3019
228,2874
229,3649
230,3449
231,2435
232,3559
233,3777
234,2593
235,3007
236,2109
237,1358
238,2807
239,2576
240,2913
241,2621
242,4041
243,2692
244,3515
245,1593
246,3473
247,1969
248,3308
249,2847
250,2505
251,2518
252,4545
253,1822
254,4058
255,3514
256,2363
257,2040
258,4103
259,3587
260,2338
261,3472
262,3690
263,1018
264,2400
265,3332
266,2415
267,3896
268,2190
269,2977
270,2859
271,3255
272,1915
273,4874
274,3539
275,3041
276,6085
277,3782
278,3253
279,2730
280,2891
281,4738
282,3416
283,2773
284,3105
285,3927
286,3484
287,2892
288,2201
289,4489
290,3983
291,3636
292,1901
293,832
294,2970
295,3898
296,1737
297,5017
298,2995
299,4502
300,3334
301,4324
302,3851
303,4541
304,2464
305,2621
306,1785
307,4634
308,1998
309,3151
310,3218
311,2207
312,4163
313,3345
314,1984
315,2215
316,1859
317,2236
318,3370
319,2142
320,2387
321,1484
322,2779
323,2183
324,3460
325,3043
326,2464
327,1766
328,3184
329,2840
330,1824
331,2922
332,3910
333,2737
334,2421
335,2201
336,4536
337,3912
338,3521
339,1696
340,2352
341,2376
342,1043
343,3908
344,4661
345,4094
346,3889
347,3405
348,4122
349,4080
350,2456
351,2221
352,3011
353,3102
354,2989
355,2970
356,4165
357,1888
358,3975
359,3923
360,3354
361,4177
362,860
363,2013
364,1469
365,3222
366,2568
367,2049
368,3457
369,3741
370,1780
371,4295
372,4607
373,2000
374,2630
375,1887
376,2302
377,1765
378,2089
379,1953
380,2237
381,3667
382,2800
383,1330
384,1091
385,4136
386,1951
387,3318
388,2124
389,3171
390,3596
391,2058
392,3100
393,3181
394,2831
395,693
396,1279
397,2431
398,2832
399,5038
400,2711
401,1559
402,3264
403,4034
404,2570
405,3282
406,3525
407,3158
408,1467
409,71
