Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-V,26675859,194684,7280,11580.0,13,0.39766483516483514
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-V,14225622,178773,7280,12102.0,12,0.41559065934065936
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-V,7858824,189005,7280,12573.0,11,0.4317651098901099
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-V,4759438,194759,7280,13152.0,10,0.45164835164835165
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-V,3079845,203415,7280,13666.0,9,0.46929945054945055
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-V,2288781,218837,7280,14097.0,8,0.4841002747252747
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-V,2816380,216250,7280,15382.0,7,0.528228021978022
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-V,3512127,217652,7280,16718.0,6,0.5741071428571428
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-V,5248459,226538,7280,18702.0,5,0.642239010989011
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-V,8327667,173658,7280,11032.0,13,0.37884615384615383
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-V,8524641,167977,7280,10968.0,12,0.37664835164835164
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-V,7936397,169750,7280,10948.0,11,0.37596153846153846
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-V,6585142,167294,7280,11021.0,10,0.3784684065934066
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-V,4716847,200095,7280,11129.0,9,0.3821771978021978
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-V,3021856,163956,7280,11396.0,8,0.39134615384615384
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-V,1877417,188900,7280,11940.0,7,0.4100274725274725
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-V,1249027,200577,7280,13184.0,6,0.45274725274725275
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-V,908936,228265,7280,16466.0,5,0.5654532967032967
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-V,178602,168372,7280,6183.0,13,0.2123282967032967
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-V,229308,169786,7280,6204.0,12,0.21304945054945054
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-V,315906,163337,7280,6257.0,11,0.2148695054945055
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-V,433180,168255,7280,6354.0,10,0.21820054945054945
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-V,584719,177567,7280,6481.0,9,0.22256181318681317
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-V,662282,175499,7280,6769.0,8,0.23245192307692308
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-V,637453,185384,7280,7326.0,7,0.2515796703296703
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-V,612596,204788,7280,8668.0,6,0.29766483516483516
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-V,497742,226943,7280,11713.0,5,0.40223214285714287
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,TS_2DIFF+BOS-V,13344515,181382,7280,10040.0,13,0.3447802197802198
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,TS_2DIFF+BOS-V,11003310,182370,7280,10070.0,12,0.34581043956043955
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,TS_2DIFF+BOS-V,7842810,182743,7280,10225.0,11,0.35113324175824173
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,TS_2DIFF+BOS-V,5311709,220185,7280,10569.0,10,0.36294642857142856
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,TS_2DIFF+BOS-V,3198768,204099,7280,10685.0,9,0.36692994505494503
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,TS_2DIFF+BOS-V,1938582,214264,7280,11017.0,8,0.37833104395604394
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,TS_2DIFF+BOS-V,1273574,217431,7280,11656.0,7,0.4002747252747253
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,TS_2DIFF+BOS-V,947692,236856,7280,12907.0,6,0.4432348901098901
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,TS_2DIFF+BOS-V,736645,223195,7280,15736.0,5,0.5403846153846154
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,TS_2DIFF+BOS-V,905612,171374,7280,8223.0,13,0.28238324175824175
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,TS_2DIFF+BOS-V,1005860,168991,7280,8248.0,12,0.28324175824175823
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,TS_2DIFF+BOS-V,1137721,169949,7280,8299.0,11,0.28499313186813185
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,TS_2DIFF+BOS-V,1211117,167472,7280,8305.0,10,0.2851991758241758
