Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-V,39893643,597541,25224,40658.0,13,0.40296939422771966
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-V,36563747,585780,25224,40597.0,12,0.4023648112908341
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-V,31394402,599746,25224,40373.0,11,0.4001447034570251
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-V,24385046,642920,25224,40182.0,10,0.39825166508087534
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-V,17273561,640306,25224,40383.0,9,0.40024381541389153
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-V,11059267,683282,25224,41087.0,8,0.40722129717729144
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-V,7226159,743167,25224,43025.0,7,0.4264291944180146
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-V,5011637,776567,25224,47313.0,6,0.46892840152235965
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-V,3893251,902928,25224,56826.0,5,0.5632136060894386
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-V,134281061,2508730,99999,155265.0,13,0.3881663816638166
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-V,127472142,2442980,99999,154655.0,12,0.38664136641366414
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-V,114602227,2523758,99999,154176.0,11,0.3854438544385444
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-V,91939502,2519584,99999,154166.0,10,0.3854188541885419
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-V,64820079,2649439,99999,155161.0,9,0.38790637906379066
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-V,42547501,2775828,99999,158514.0,8,0.3962889628896289
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-V,27096177,2962241,99999,166673.0,7,0.41668666686666866
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-V,18556183,3166423,99999,183667.0,6,0.4591720917209172
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-V,13854922,3540432,99999,222634.0,5,0.556590565905659
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-V,139488470,2440141,99999,157370.0,13,0.3934289342893429
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-V,128784214,2457476,99999,156544.0,12,0.3913639136391364
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-V,112607496,2392009,99999,156382.0,11,0.3909589095890959
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-V,90269017,2441987,99999,156468.0,10,0.39117391173911736
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-V,64297098,2537477,99999,157493.0,9,0.39373643736437364
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-V,42307887,2691144,99999,160810.0,8,0.4020290202902029
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-V,27605367,2856459,99999,168507.0,7,0.42127171271712716
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-V,19509771,3087565,99999,185338.0,6,0.46334963349633496
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-V,15394050,3618780,99999,223708.0,5,0.5592755927559275
