Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-V,105098964,410422,18353,34865.0,13,0.4749223560180897
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-V,78934008,399065,18353,34830.0,12,0.47444559472565795
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-V,51086544,374314,18353,34651.0,11,0.4720073012586498
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-V,29989043,410209,18353,34531.0,10,0.4703726911131695
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-V,17728412,440867,18353,34553.0,9,0.4706723696398409
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-V,10966980,484535,18353,34882.0,8,0.4751539257886994
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-V,8035604,526419,18353,36224.0,7,0.4934343159156541
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-V,6994625,585591,18353,39292.0,6,0.5352258486351005
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-V,6653308,594876,18353,47097.0,5,0.6415436168473819
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-V,75339102,1237952,58373,70636.0,13,0.3025200006852483
