Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-V,17271093,86774,3710,8786.0,13,0.5920485175202156
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-V,17259273,85572,3710,8786.0,12,0.5920485175202156
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-V,9107870,91877,3710,8722.0,11,0.5877358490566038
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-V,5148322,82953,3710,8674.0,10,0.5845013477088948
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-V,3336657,76208,3710,8723.0,9,0.5878032345013477
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-V,2637427,80801,3710,8863.0,8,0.5972371967654987
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-V,2720351,88069,3710,9157.0,7,0.6170485175202156
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-V,3609731,94730,3710,9969.0,6,0.6717654986522911
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-V,5214744,104301,3710,11642.0,5,0.7845013477088949
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-V,1425125,84390,3710,6080.0,13,0.40970350404312667
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-V,1430667,81714,3710,6080.0,12,0.40970350404312667
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-V,1535339,78527,3710,6016.0,11,0.40539083557951483
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-V,1515418,73024,3710,5928.0,10,0.3994609164420485
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-V,1356319,95467,3710,5923.0,9,0.39912398921832887
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-V,1100759,87991,3710,6007.0,8,0.40478436657681943
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-V,812321,86935,3710,6334.0,7,0.42681940700808624
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-V,597420,97448,3710,7055.0,6,0.4754043126684636
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-V,491191,111015,3710,8780.0,5,0.5916442048517521
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-V,1529972,88408,3710,6093.0,13,0.4105795148247978
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-V,1538534,84615,3710,6093.0,12,0.4105795148247978
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-V,1750599,86706,3710,6039.0,11,0.4069407008086253
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-V,1754680,78098,3710,5946.0,10,0.40067385444743936
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-V,1575747,76369,3710,5987.0,9,0.4034366576819407
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-V,1195524,86408,3710,6050.0,8,0.4076819407008086
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-V,833575,90900,3710,6348.0,7,0.42776280323450133
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-V,598180,100260,3710,7049.0,6,0.475
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-V,470006,109684,3710,8806.0,5,0.5933962264150944
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,TS_2DIFF+BOS-V,1384581,76504,3707,6056.0,13,0.408416509306717
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,TS_2DIFF+BOS-V,1382304,75222,3707,6056.0,12,0.408416509306717
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,TS_2DIFF+BOS-V,1514475,78097,3707,6004.0,11,0.40490963042891825
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,TS_2DIFF+BOS-V,1502933,69399,3707,5889.0,10,0.39715403291070944
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,TS_2DIFF+BOS-V,1375227,78105,3707,5891.0,9,0.39728891286754786
