Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-V,470480,515014,29512,22074.0,13,0.18699173217674167
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-V,496250,574379,29512,21855.0,12,0.18513655462184875
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-V,577573,670310,29512,21754.0,11,0.1842809704526972
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-V,691827,619570,29512,21678.0,10,0.18363716454323664
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-V,852922,644516,29512,21737.0,9,0.18413696123610734
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-V,1083584,638133,29512,22580.0,8,0.19127812415288697
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-V,1278438,673050,29512,25157.0,7,0.21310822716183248
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-V,1453679,788689,29512,30761.0,6,0.260580441854161
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-V,1595988,870130,29512,43031.0,5,0.3645212117104906
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-V,937602,1003840,51222,27538.0,13,0.1344051384170864
