Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-V,354724747,2202832,75809,133525.0,13,0.440333601551267
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-V,274535822,1976908,75809,133561.0,12,0.4404523209645293
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-V,173245257,1856234,75809,133302.0,11,0.43959820074133676
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-V,104101215,1966689,75809,133174.0,10,0.4391760872719598
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-V,60682013,2166699,75809,134088.0,9,0.44219024126422984
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-V,34678785,2080621,75809,137246.0,8,0.4526045720165152
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-V,21008362,2203297,75809,143880.0,7,0.47448192167156933
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-V,14807839,2322730,75809,158201.0,6,0.5217091638195993
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-V,12381513,2391062,75809,194642.0,5,0.6418828898943397
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-V,458994790,2060221,75809,141019.0,13,0.4650470260786978
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-V,307705477,2010594,75809,141237.0,12,0.46576593808123046
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-V,194910865,1990301,75809,141630.0,11,0.467061958342677
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-V,109204855,1986663,75809,142576.0,10,0.4701816407022913
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-V,61970569,2061567,75809,144288.0,9,0.4758274083552085
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-V,36674279,2171275,75809,147715.0,8,0.4871288369454814
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-V,25013104,2236560,75809,154889.0,7,0.5107869777994697
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-V,21543105,2435277,75809,168425.0,6,0.555425477186086
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-V,23176457,2676002,75809,199126.0,5,0.6566700523684523
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-V,391406800,2128220,75809,138226.0,13,0.45583637826643275
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-V,291730120,2121432,75809,138415.0,12,0.4564596551860597
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-V,192238685,2002866,75809,138851.0,11,0.45789747919112506
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-V,116738296,2064895,75809,139704.0,10,0.46071046973314517
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-V,67022030,2103387,75809,141139.0,9,0.4654427574562387
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-V,39866807,2140409,75809,143718.0,8,0.4739476843118891
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-V,26458149,2299976,75809,149822.0,7,0.49407722038280416
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-V,21824437,2499966,75809,162378.0,6,0.535483913519503
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-V,20683984,2695625,75809,192438.0,5,0.6346146235935047
