Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-L,321652,173536,7280,16250.0,13,0.5580357142857143
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-L,331158,163037,7280,16278.0,12,0.5589972527472528
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-L,347880,156442,7280,16299.0,11,0.5597184065934065
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-L,384745,156979,7280,16354.0,10,0.5616071428571429
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-L,444259,153943,7280,16472.0,9,0.5656593406593406
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-L,565275,154959,7280,16578.0,8,0.5692994505494505
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-L,819788,169246,7280,17263.0,7,0.5928228021978021
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-L,1266361,183362,7280,18022.0,6,0.6188873626373627
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-L,1971761,204575,7280,20133.0,5,0.6913804945054945
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-L,306991,152458,7280,12318.0,13,0.42300824175824175
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-L,311473,139115,7280,12188.0,12,0.41854395604395606
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-L,325508,144952,7280,12194.0,11,0.41875
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-L,347386,140388,7280,11984.0,10,0.4115384615384615
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-L,385588,148110,7280,11936.0,9,0.4098901098901099
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-L,462995,155495,7280,12050.0,8,0.41380494505494503
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-L,592419,164296,7280,12530.0,7,0.43028846153846156
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-L,826677,181965,7280,13838.0,6,0.47520604395604393
