Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-L,1045283,429442,25224,46639.0,13,0.4622482556295591
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-L,1069246,417956,25224,44903.0,12,0.44504241991753885
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-L,1133376,416388,25224,45404.0,11,0.45000792895654934
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-L,1207829,396778,25224,45271.0,10,0.4486897399302252
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-L,1363194,404075,25224,44894.0,9,0.44495321915635905
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-L,1680411,453713,25224,45026.0,8,0.4462614969869965
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-L,2217479,512715,25224,46663.0,7,0.4624861243260387
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-L,3169939,585885,25224,50668.0,6,0.5021804630510625
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-L,4855638,696928,25224,61028.0,5,0.604860450364732
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-L,4245157,1795454,99999,171719.0,13,0.4293017930179302
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-L,4297515,1696332,99999,169859.0,12,0.4246517465174652
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-L,4472424,1683885,99999,169517.0,11,0.42379673796737966
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-L,4785525,1665519,99999,168505.0,10,0.4212667126671267
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-L,5378805,1730555,99999,168454.0,9,0.4211392113921139
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-L,6482764,1891587,99999,170715.0,8,0.4267917679176792
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-L,8521328,2119216,99999,178097.0,7,0.44524695246952467
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-L,12070701,2407749,99999,195303.0,6,0.48826238262382626
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-L,18280315,2795311,99999,237367.0,5,0.5934234342343423
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-L,4151482,1624080,99999,181201.0,13,0.4530070300703007
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-L,4202577,1532787,99999,181622.0,12,0.45405954059540593
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-L,4401564,1532324,99999,179074.0,11,0.44768947689476896
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-L,4762566,1553473,99999,176842.0,10,0.4421094210942109
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-L,5394483,1567255,99999,176215.0,9,0.4405419054190542
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-L,6633729,1754307,99999,177418.0,8,0.44354943549435494
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-L,8817445,2040812,99999,183049.0,7,0.4576270762707627
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-L,12570021,2362944,99999,199394.0,6,0.498489984899849
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-L,19050840,2782441,99999,239971.0,5,0.5999334993349934
