Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-L,818875,383815,18353,41555.0,13,0.5660518716286166
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-L,836794,368957,18353,41104.0,12,0.559908461831853
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-L,884081,357109,18353,40625.0,11,0.5533836430011442
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-L,968686,363988,18353,39512.0,10,0.5382226339018145
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-L,1131034,366363,18353,38751.0,9,0.5278564812292268
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-L,1413096,410483,18353,38084.0,8,0.5187707731705988
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-L,1928495,460956,18353,38660.0,7,0.5266169018689043
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-L,2830795,496686,18353,41464.0,6,0.564812292268294
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,TS_2DIFF+BOS-L,4349012,542052,18353,48925.0,5,0.6664441780635318
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-L,2558804,1199622,58373,132199.0,13,0.566182139002621
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-L,2629837,1151987,58373,131325.0,12,0.5624389700717798
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-L,2796090,1130924,58373,129989.0,11,0.5567171466260086
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-L,3074988,1115742,58373,128274.0,10,0.5493721412296781
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-L,3609545,1216035,58373,123495.0,9,0.5289046305655012
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-L,4374769,1197546,58373,116086.0,8,0.49717335069295737
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-L,5646884,1308789,58373,109257.0,7,0.4679260959690268
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-L,7726593,1470244,58373,108807.0,6,0.46599883507786133
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,TS_2DIFF+BOS-L,10553959,1690373,58373,119676.0,5,0.5125486098024772
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-L,2532656,1194254,58373,132199.0,13,0.566182139002621
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-L,2604534,1174490,58373,131325.0,12,0.5624389700717798
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-L,2775549,1119029,58373,129989.0,11,0.5567171466260086
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-L,3054757,1091491,58373,128274.0,10,0.5493721412296781
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-L,3663787,1129864,58373,123495.0,9,0.5289046305655012
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-L,4432568,1213215,58373,116086.0,8,0.49717335069295737
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-L,5639967,1288989,58373,109257.0,7,0.4679260959690268
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-L,7738888,1459062,58373,108807.0,6,0.46599883507786133
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,TS_2DIFF+BOS-L,10547971,1641541,58373,119676.0,5,0.5125486098024772
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-L,771102,351669,17785,40237.0,13,0.5656030362665168
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-L,785769,340729,17785,38918.0,12,0.5470621310092775
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-L,828945,335405,17785,38235.0,11,0.5374613438290694
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-L,912191,337466,17785,37137.0,10,0.5220269890357042
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-L,1059794,354991,17785,36146.0,9,0.5080967107112735
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-L,1321033,383043,17785,36098.0,8,0.5074219848186674
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-L,1791723,404731,17785,36868.0,7,0.518245712679224
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-L,2630727,467104,17785,39642.0,6,0.5572392465560866
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,TS_2DIFF+BOS-L,4083423,509766,17785,47028.0,5,0.6610626932808547
