Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-L,588454,239566,3710,9323.0,13,0.6282345013477089
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-L,217011,201876,3710,9323.0,12,0.6282345013477089
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-L,494364,215761,3710,8877.0,11,0.5981805929919137
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-L,615149,441337,3710,8957.0,10,0.6035714285714285
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-L,591950,501787,3710,8940.0,9,0.6024258760107817
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-L,330897,131538,3710,9050.0,8,0.6098382749326146
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-L,452685,160936,3710,9319.0,7,0.6279649595687331
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-L,718583,96964,3710,10084.0,6,0.6795148247978436
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks4.csv,TS_2DIFF+BOS-L,1360329,99285,3710,11720.0,5,0.7897574123989218
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-L,174276,57424,3710,6660.0,13,0.44878706199460916
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-L,171194,67526,3710,6660.0,12,0.44878706199460916
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-L,177552,54012,3710,6608.0,11,0.44528301886792454
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-L,193041,65545,3710,6297.0,10,0.42432614555256065
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-L,211187,61324,3710,6147.0,9,0.4142183288409704
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-L,254402,68585,3710,6222.0,8,0.4192722371967655
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-L,402158,69002,3710,6532.0,7,0.44016172506738543
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-L,440616,84570,3710,7281.0,6,0.490633423180593
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,TS_2DIFF+BOS-L,752153,102123,3710,8917.0,5,0.6008760107816712
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-L,173592,56921,3710,6480.0,13,0.4366576819407008
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-L,179816,59123,3710,6480.0,12,0.4366576819407008
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-L,183821,66432,3710,6516.0,11,0.43908355795148246
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-L,194577,60072,3710,6240.0,10,0.42048517520215634
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-L,213062,67003,3710,6168.0,9,0.415633423180593
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-L,423578,64543,3710,6225.0,8,0.4194743935309973
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-L,326253,86087,3710,6499.0,7,0.4379380053908356
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks3.csv,TS_2DIFF+BOS-L,433512,80099,3710,7310.0,6,0.4925876010781671
