Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,TS_2DIFF+BOS-L,2453728,1152721,58531,103193.0,13,0.4407621602227879
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,TS_2DIFF+BOS-L,2633855,1331371,58531,102775.0,12,0.4389767815345714
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,TS_2DIFF+BOS-L,2771492,1358249,58531,102633.0,11,0.43837026532948353
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,TS_2DIFF+BOS-L,2949743,1320882,58531,103188.0,10,0.44074080401838345
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,TS_2DIFF+BOS-L,3277618,1346120,58531,104878.0,9,0.44795920110710563
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,TS_2DIFF+BOS-L,4018106,1454979,58531,107513.0,8,0.45921392082827905
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,TS_2DIFF+BOS-L,5348306,1508797,58531,112858.0,7,0.4820437033366934
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,TS_2DIFF+BOS-L,7864588,1662327,58531,123254.0,6,0.5264475235345373
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,TS_2DIFF+BOS-L,12574439,1755616,58531,148509.0,5,0.634317711981685
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,TS_2DIFF+BOS-L,2631305,1442469,58531,139068.0,13,0.5939929268251012
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,TS_2DIFF+BOS-L,2715242,1340518,58531,138699.0,12,0.5924168389400488
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,TS_2DIFF+BOS-L,2868146,1304778,58531,138691.0,11,0.5923826690130016
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,TS_2DIFF+BOS-L,3195551,1327255,58531,138029.0,10,0.5895551075498454
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,TS_2DIFF+BOS-L,3780855,1399630,58531,138152.0,9,0.5900804701781962
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,TS_2DIFF+BOS-L,4948968,1439071,58531,140124.0,8,0.5985033571953324
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,TS_2DIFF+BOS-L,7140181,1534998,58531,145130.0,7,0.6198851890451214
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,TS_2DIFF+BOS-L,11272381,1634454,58531,155271.0,6,0.6631998428183355
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,TS_2DIFF+BOS-L,18917702,1715649,58531,180452.0,5,0.7707539594402966
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel2.csv,TS_2DIFF+BOS-L,2570157,861754,58531,38234.0,13,0.1633066238403581
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel2.csv,TS_2DIFF+BOS-L,2585760,872311,58531,38190.0,12,0.16311868924159847
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel2.csv,TS_2DIFF+BOS-L,2654520,892605,58531,38235.0,11,0.163310895081239
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Fuel/syndata_fuel2.csv,TS_2DIFF+BOS-L,2823588,1008312,58531,38579.0,10,0.16478020194426884
