Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-L,1252250,412315,29512,22263.0,13,0.18859277582000541
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-L,1290716,449386,29512,22247.0,12,0.1884572377338032
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-L,1328266,463462,29512,22389.0,11,0.18966013824884792
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-L,1378386,484593,29512,22568.0,10,0.19117647058823528
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-L,1483704,548928,29512,22536.0,9,0.19090539441583085
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-L,1580805,560711,29512,23388.0,8,0.1981227975060992
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-L,1736809,620673,29512,25911.0,7,0.21949545947411223
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-L,1983280,709974,29512,31252.0,6,0.26473976687449174
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-L,2464609,872613,29512,43725.0,5,0.37040017619951204
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-L,2104333,679910,51222,39421.0,13,0.1924026785365663
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-L,2150650,696288,51222,39244.0,12,0.19153879192534456
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-L,2200572,739788,51222,38503.0,11,0.18792218187497559
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-L,2279965,849912,51222,37282.0,10,0.18196282847214088
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-L,2364452,890198,51222,36869.0,9,0.17994709304595682
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-L,2548859,993485,51222,37763.0,8,0.18431045253992426
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-L,2775663,1089422,51222,42062.0,7,0.2052926476904455
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-L,3118366,1209539,51222,51703.0,6,0.2523476240677834
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-L,3897852,1469981,51222,72788.0,5,0.35525750654015853
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,TS_2DIFF+BOS-L,2306857,1101016,51222,59703.0,13,0.291393346608879
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,TS_2DIFF+BOS-L,2322385,1095572,51222,59835.0,12,0.29203760103080706
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,TS_2DIFF+BOS-L,2356272,1082047,51222,59669.0,11,0.29122740228807936
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,TS_2DIFF+BOS-L,2489616,1171353,51222,59839.0,10,0.2920571238920776
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,TS_2DIFF+BOS-L,2662557,1172581,51222,60350.0,9,0.2945511694193901
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,TS_2DIFF+BOS-L,3010910,1275968,51222,62215.0,8,0.303653703486783
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,TS_2DIFF+BOS-L,3558064,1318509,51222,66683.0,7,0.3254607395259849
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,TS_2DIFF+BOS-L,4537787,1435198,51222,76179.0,6,0.37180801218226545
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,TS_2DIFF+BOS-L,6355613,1637432,51222,97634.0,5,0.47652375932216623
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport4.csv,TS_2DIFF+BOS-L,1379262,714570,29512,35170.0,13,0.297929655733261
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport4.csv,TS_2DIFF+BOS-L,1354802,633382,29512,35233.0,12,0.2984633369476823
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport4.csv,TS_2DIFF+BOS-L,1389049,656292,29512,35405.0,11,0.2999203713743562
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport4.csv,TS_2DIFF+BOS-L,1412679,611630,29512,35587.0,10,0.3014621171049065
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport4.csv,TS_2DIFF+BOS-L,1478825,565744,29512,36097.0,9,0.30578239360260234
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport4.csv,TS_2DIFF+BOS-L,1682059,613489,29512,37339.0,8,0.3163035375440499
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport4.csv,TS_2DIFF+BOS-L,2024990,703462,29512,39620.0,7,0.3356261859582543
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport4.csv,TS_2DIFF+BOS-L,2598115,804763,29512,44716.0,6,0.37879506641366223
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport4.csv,TS_2DIFF+BOS-L,3719629,955959,29512,56194.0,5,0.47602670100298183
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport6.csv,TS_2DIFF+BOS-L,1401087,432245,34048,26415.0,13,0.19395412359022557
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport6.csv,TS_2DIFF+BOS-L,1413759,444311,34048,26279.0,12,0.19295553336466165
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport6.csv,TS_2DIFF+BOS-L,1480284,516166,34048,26121.0,11,0.1917954064849624
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport6.csv,TS_2DIFF+BOS-L,1570696,593309,34048,25791.0,10,0.18937235667293234
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport6.csv,TS_2DIFF+BOS-L,1646326,625126,34048,26076.0,9,0.19146499060150377
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport6.csv,TS_2DIFF+BOS-L,1788369,690973,34048,26811.0,8,0.19686178336466165
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport6.csv,TS_2DIFF+BOS-L,1968654,749712,34048,29597.0,7,0.21731819783834586
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport6.csv,TS_2DIFF+BOS-L,2235838,825974,34048,36002.0,6,0.26434739191729323
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/TY-Transport/syndata_transport6.csv,TS_2DIFF+BOS-L,2818976,1020084,34048,50007.0,5,0.367180157424812
