Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-L,3359245,1763862,75809,134872.0,13,0.44477568626416386
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-L,3392222,1665313,75809,134683.0,12,0.4441524093445369
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-L,3782352,1622787,75809,134835.0,11,0.4446536690894221
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-L,3911539,1763088,75809,135247.0,10,0.4460123468189793
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-L,4405677,1776991,75809,136771.0,9,0.45103813531374903
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-L,5432431,1848241,75809,140128.0,8,0.46210872060045644
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-L,7108195,1899789,75809,147557.0,7,0.48660779063171916
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-L,10269520,2044152,75809,162394.0,6,0.535536677703175
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-L,16266027,2216667,75809,197362.0,5,0.6508528011186007
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-L,3851529,2496458,75809,147382.0,13,0.48603068237280533
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-L,3949869,2514124,75809,147127.0,12,0.48518975319553087
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-L,4021620,2310903,75809,148626.0,11,0.4901330976533129
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-L,4188745,2092691,75809,150924.0,10,0.49771135353322166
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-L,4582528,1868205,75809,152670.0,9,0.5034692450764421
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-L,5582650,1769726,75809,156522.0,8,0.5161722222955059
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-L,7683660,1811528,75809,163621.0,7,0.539583031038531
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-L,11787886,1982430,75809,177036.0,6,0.583822501286127
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-L,19515205,2262696,75809,212742.0,5,0.7015723726734293
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-L,3385846,1637141,75809,153064.0,13,0.5047685630993681
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-L,3361357,1563610,75809,153270.0,12,0.5054479019641467
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-L,3500815,1507579,75809,153505.0,11,0.506222875911831
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-L,3855462,1482929,75809,154402.0,10,0.5091809679589495
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-L,4452920,1531615,75809,154269.0,9,0.5087423656821749
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-L,5629950,1637693,75809,155271.0,8,0.5120467226846417
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-L,7798791,1800501,75809,160354.0,7,0.5288092442849793
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-L,11852486,2048654,75809,172180.0,6,0.5678085715416376
/Users/xiaojinzhao/Desktop/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,TS_2DIFF+BOS-L,18848653,2320008,75809,203553.0,5,0.6712692424382329
