Encoding,Dataset,Block Size,Compression Ratio
TS_2DIFF+BOS-V,EPM-Education,5,1.7866929630021728
TS_2DIFF+BOS-V,EPM-Education,6,2.156024094826507
TS_2DIFF+BOS-V,EPM-Education,7,2.3726901953844295
TS_2DIFF+BOS-V,EPM-Education,8,2.4885128580059988
TS_2DIFF+BOS-V,EPM-Education,9,2.538314521185745
TS_2DIFF+BOS-V,EPM-Education,10,2.5535295744856
TS_2DIFF+BOS-V,EPM-Education,11,2.5498333751154845
TS_2DIFF+BOS-V,EPM-Education,12,2.541575749843891
TS_2DIFF+BOS-V,EPM-Education,13,2.5325758687694737
TS_2DIFF+BOS-L,EPM-Education,5,1.6683188733481824
TS_2DIFF+BOS-L,EPM-Education,6,2.0148659082505294
TS_2DIFF+BOS-L,EPM-Education,7,2.1972224641700575
TS_2DIFF+BOS-L,EPM-Education,8,2.2785917111447302
TS_2DIFF+BOS-L,EPM-Education,9,2.2959751763897907
TS_2DIFF+BOS-L,EPM-Education,10,2.286470565353057
TS_2DIFF+BOS-L,EPM-Education,11,2.270157619715933
TS_2DIFF+BOS-L,EPM-Education,12,2.266282605341994
TS_2DIFF+BOS-L,EPM-Education,13,2.23121803267801
TS_2DIFF+BOS-H,EPM-Education,5,1.7874391974166526
TS_2DIFF+BOS-H,EPM-Education,6,2.156159133114835
TS_2DIFF+BOS-H,EPM-Education,7,2.372813013069415
TS_2DIFF+BOS-H,EPM-Education,8,2.4886057528461647
TS_2DIFF+BOS-H,EPM-Education,9,2.5383306290505616
TS_2DIFF+BOS-H,EPM-Education,10,2.5535295744856
TS_2DIFF+BOS-H,EPM-Education,11,2.5498333751154845
TS_2DIFF+BOS-H,EPM-Education,12,2.541575749843891
TS_2DIFF+BOS-H,EPM-Education,13,2.5325758687694737
TS_2DIFF+BOS-V,GW-Magnetic,5,1.7702988785782592
TS_2DIFF+BOS-V,GW-Magnetic,6,2.104087152355154
TS_2DIFF+BOS-V,GW-Magnetic,7,2.2856736502591324
TS_2DIFF+BOS-V,GW-Magnetic,8,2.380167791959488
TS_2DIFF+BOS-V,GW-Magnetic,9,2.43587854110295
TS_2DIFF+BOS-V,GW-Magnetic,10,2.4889886589602956
TS_2DIFF+BOS-V,GW-Magnetic,11,2.5429215209727656
TS_2DIFF+BOS-V,GW-Magnetic,12,2.5808263645880496
TS_2DIFF+BOS-V,GW-Magnetic,13,2.5764271988867598
TS_2DIFF+BOS-L,GW-Magnetic,5,1.7002435791845831
TS_2DIFF+BOS-L,GW-Magnetic,6,1.9473730144888397
TS_2DIFF+BOS-L,GW-Magnetic,7,2.0194729634480093
TS_2DIFF+BOS-L,GW-Magnetic,8,1.9796693310988023
TS_2DIFF+BOS-L,GW-Magnetic,9,1.910436398423369
TS_2DIFF+BOS-L,GW-Magnetic,10,1.852714817768188
TS_2DIFF+BOS-L,GW-Magnetic,11,1.8146520888454658
TS_2DIFF+BOS-L,GW-Magnetic,12,1.7922363193037703
TS_2DIFF+BOS-L,GW-Magnetic,13,1.7667694800957459
TS_2DIFF+BOS-H,GW-Magnetic,5,1.7724070560496594
TS_2DIFF+BOS-H,GW-Magnetic,6,2.1042239460069414
TS_2DIFF+BOS-H,GW-Magnetic,7,2.2863333877382317
TS_2DIFF+BOS-H,GW-Magnetic,8,2.3801920551311095
TS_2DIFF+BOS-H,GW-Magnetic,9,2.43587854110295
TS_2DIFF+BOS-H,GW-Magnetic,10,2.4889886589602956
TS_2DIFF+BOS-H,GW-Magnetic,11,2.5429215209727656
TS_2DIFF+BOS-H,GW-Magnetic,12,2.5808263645880496
TS_2DIFF+BOS-H,GW-Magnetic,13,2.5764271988867598
TS_2DIFF+BOS-V,Metro-Traffic,5,1.7381255014378307
TS_2DIFF+BOS-V,Metro-Traffic,6,2.161957301758163
TS_2DIFF+BOS-V,Metro-Traffic,7,2.400936406539903
TS_2DIFF+BOS-V,Metro-Traffic,8,2.54483541430193
TS_2DIFF+BOS-V,Metro-Traffic,9,2.6172390389575133
TS_2DIFF+BOS-V,Metro-Traffic,10,2.635555920063424
TS_2DIFF+BOS-V,Metro-Traffic,11,2.6330005871990605
