Encoding,Dataset,Block Size,Time
TS_2DIFF+BOS-V,EPM-Education,5,1145.4850167911763
TS_2DIFF+BOS-V,EPM-Education,6,1990.9831553754802
TS_2DIFF+BOS-V,EPM-Education,7,3739.74511510418
TS_2DIFF+BOS-V,EPM-Education,8,6976.753761904889
TS_2DIFF+BOS-V,EPM-Education,9,13184.763043520064
TS_2DIFF+BOS-V,EPM-Education,10,25635.71366758387
TS_2DIFF+BOS-V,EPM-Education,11,49790.26701977771
TS_2DIFF+BOS-V,EPM-Education,12,98615.5293188073
TS_2DIFF+BOS-V,EPM-Education,13,199826.33101784237
TS_2DIFF+BOS-L,EPM-Education,5,889.6814605951325
TS_2DIFF+BOS-L,EPM-Education,6,1513.2733997558814
TS_2DIFF+BOS-L,EPM-Education,7,2642.2259538294716
TS_2DIFF+BOS-L,EPM-Education,8,4646.114808093847
TS_2DIFF+BOS-L,EPM-Education,9,8362.307476928243
TS_2DIFF+BOS-L,EPM-Education,10,16356.836526436944
TS_2DIFF+BOS-L,EPM-Education,11,33225.40265636085
TS_2DIFF+BOS-L,EPM-Education,12,66711.94485113262
TS_2DIFF+BOS-L,EPM-Education,13,139866.97693615692
TS_2DIFF+BOS-H,EPM-Education,5,1023.9461825890063
TS_2DIFF+BOS-H,EPM-Education,6,1645.4185813028444
TS_2DIFF+BOS-H,EPM-Education,7,2805.3820021866572
TS_2DIFF+BOS-H,EPM-Education,8,5161.760100747218
TS_2DIFF+BOS-H,EPM-Education,9,9468.214236902915
TS_2DIFF+BOS-H,EPM-Education,10,17772.33693620793
TS_2DIFF+BOS-H,EPM-Education,11,35090.459699116494
TS_2DIFF+BOS-H,EPM-Education,12,71045.61925659853
TS_2DIFF+BOS-H,EPM-Education,13,149104.0783348652
TS_2DIFF+BOS-V,GW-Magnetic,5,1013.5641127344682
TS_2DIFF+BOS-V,GW-Magnetic,6,1915.1300031639528
TS_2DIFF+BOS-V,GW-Magnetic,7,3554.4130671745097
TS_2DIFF+BOS-V,GW-Magnetic,8,6491.477580708339
TS_2DIFF+BOS-V,GW-Magnetic,9,13306.128449764426
TS_2DIFF+BOS-V,GW-Magnetic,10,23117.288311363845
TS_2DIFF+BOS-V,GW-Magnetic,11,42762.204583454324
TS_2DIFF+BOS-V,GW-Magnetic,12,86982.48743766708
TS_2DIFF+BOS-V,GW-Magnetic,13,178102.31302621728
TS_2DIFF+BOS-L,GW-Magnetic,5,922.2175579512765
TS_2DIFF+BOS-L,GW-Magnetic,6,1656.150606728586
TS_2DIFF+BOS-L,GW-Magnetic,7,2956.033940133977
TS_2DIFF+BOS-L,GW-Magnetic,8,5452.970004800389
TS_2DIFF+BOS-L,GW-Magnetic,9,10254.110852424748
TS_2DIFF+BOS-L,GW-Magnetic,10,19614.703969643262
TS_2DIFF+BOS-L,GW-Magnetic,11,39352.87414037017
TS_2DIFF+BOS-L,GW-Magnetic,12,81015.75299229118
TS_2DIFF+BOS-L,GW-Magnetic,13,167313.95192363218
TS_2DIFF+BOS-H,GW-Magnetic,5,861.8372312717587
TS_2DIFF+BOS-H,GW-Magnetic,6,1475.169794796583
TS_2DIFF+BOS-H,GW-Magnetic,7,2562.2331645425434
TS_2DIFF+BOS-H,GW-Magnetic,8,4683.894980412572
TS_2DIFF+BOS-H,GW-Magnetic,9,9325.813823462982
TS_2DIFF+BOS-H,GW-Magnetic,10,16043.705263790649
TS_2DIFF+BOS-H,GW-Magnetic,11,29612.741476196752
TS_2DIFF+BOS-H,GW-Magnetic,12,61456.08809706361
TS_2DIFF+BOS-H,GW-Magnetic,13,136305.391886728
TS_2DIFF+BOS-V,Metro-Traffic,5,1077.9232827832293
TS_2DIFF+BOS-V,Metro-Traffic,6,2079.7842457938305
TS_2DIFF+BOS-V,Metro-Traffic,7,3977.6657884364045
TS_2DIFF+BOS-V,Metro-Traffic,8,7819.930875671639
TS_2DIFF+BOS-V,Metro-Traffic,9,15051.215235566251
TS_2DIFF+BOS-V,Metro-Traffic,10,29546.467066365163
TS_2DIFF+BOS-V,Metro-Traffic,11,58474.40864676472
TS_2DIFF+BOS-V,Metro-Traffic,12,109823.75038897994
TS_2DIFF+BOS-V,Metro-Traffic,13,225244.73580482544
TS_2DIFF+BOS-L,Metro-Traffic,5,970.7837271539116
TS_2DIFF+BOS-L,Metro-Traffic,6,1779.3136526772194
TS_2DIFF+BOS-L,Metro-Traffic,7,3265.334356782773
TS_2DIFF+BOS-L,Metro-Traffic,8,6154.170321349294
TS_2DIFF+BOS-L,Metro-Traffic,9,12140.06032819534
TS_2DIFF+BOS-L,Metro-Traffic,10,23416.530257452854
TS_2DIFF+BOS-L,Metro-Traffic,11,46124.080243968216
TS_2DIFF+BOS-L,Metro-Traffic,12,91348.7110760741
TS_2DIFF+BOS-L,Metro-Traffic,13,193416.2079538618
TS_2DIFF+BOS-H,Metro-Traffic,5,901.8127502437608
TS_2DIFF+BOS-H,Metro-Traffic,6,1638.9605626205837
TS_2DIFF+BOS-H,Metro-Traffic,7,2934.581167147273
TS_2DIFF+BOS-H,Metro-Traffic,8,5851.471817106819
TS_2DIFF+BOS-H,Metro-Traffic,9,11405.046158952762
TS_2DIFF+BOS-H,Metro-Traffic,10,21723.95510652864
TS_2DIFF+BOS-H,Metro-Traffic,11,42281.77001431446
TS_2DIFF+BOS-H,Metro-Traffic,12,81156.42395701513
TS_2DIFF+BOS-H,Metro-Traffic,13,171220.1587453063
TS_2DIFF+BOS-V,Nifty-Stocks,5,938.5820801504893
TS_2DIFF+BOS-V,Nifty-Stocks,6,1692.4981375943084
TS_2DIFF+BOS-V,Nifty-Stocks,7,3127.1695038900652
TS_2DIFF+BOS-V,Nifty-Stocks,8,6382.562165536715
TS_2DIFF+BOS-V,Nifty-Stocks,9,11092.757621647965
TS_2DIFF+BOS-V,Nifty-Stocks,10,20998.018388086028
TS_2DIFF+BOS-V,Nifty-Stocks,11,45555.97781037886
TS_2DIFF+BOS-V,Nifty-Stocks,12,87161.27005871407
TS_2DIFF+BOS-V,Nifty-Stocks,13,178978.40056124592
TS_2DIFF+BOS-L,Nifty-Stocks,5,841.523035419353
TS_2DIFF+BOS-L,Nifty-Stocks,6,1496.9918406746215
TS_2DIFF+BOS-L,Nifty-Stocks,7,3165.4099334169196
TS_2DIFF+BOS-L,Nifty-Stocks,8,5503.45244391867
TS_2DIFF+BOS-L,Nifty-Stocks,9,21065.11154066607
TS_2DIFF+BOS-L,Nifty-Stocks,10,38563.90155584358
TS_2DIFF+BOS-L,Nifty-Stocks,11,50398.95770576423
TS_2DIFF+BOS-L,Nifty-Stocks,12,97802.00581006105
TS_2DIFF+BOS-L,Nifty-Stocks,13,208610.34004452958
TS_2DIFF+BOS-H,Nifty-Stocks,5,1002.7557269290908
TS_2DIFF+BOS-H,Nifty-Stocks,6,1368.3357976712766
TS_2DIFF+BOS-H,Nifty-Stocks,7,2342.2466868064307
TS_2DIFF+BOS-H,Nifty-Stocks,8,4501.504652892688
TS_2DIFF+BOS-H,Nifty-Stocks,9,8575.042035431816
TS_2DIFF+BOS-H,Nifty-Stocks,10,16911.824875138525
TS_2DIFF+BOS-H,Nifty-Stocks,11,32552.76304403929
TS_2DIFF+BOS-H,Nifty-Stocks,12,64094.69275727536
TS_2DIFF+BOS-H,Nifty-Stocks,13,127635.79469585414
TS_2DIFF+BOS-V,USGS-Earthquakes,5,1092.2451951615242
TS_2DIFF+BOS-V,USGS-Earthquakes,6,2042.4587757829984
TS_2DIFF+BOS-V,USGS-Earthquakes,7,3793.2990542020075
TS_2DIFF+BOS-V,USGS-Earthquakes,8,7195.408108975628
TS_2DIFF+BOS-V,USGS-Earthquakes,9,14254.272078513104
TS_2DIFF+BOS-V,USGS-Earthquakes,10,27097.419954534864
TS_2DIFF+BOS-V,USGS-Earthquakes,11,52674.36693092729
TS_2DIFF+BOS-V,USGS-Earthquakes,12,110022.96853056147
TS_2DIFF+BOS-V,USGS-Earthquakes,13,230215.88648665286
TS_2DIFF+BOS-L,USGS-Earthquakes,5,956.7020274637576
