Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-H,7912013,129537,7280,11580.0,13,0.39766483516483514
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-H,5008526,111282,7280,12102.0,12,0.41559065934065936
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-H,3669636,111619,7280,12573.0,11,0.4317651098901099
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-H,3523705,114723,7280,13152.0,10,0.45164835164835165
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-H,4148129,124021,7280,13666.0,9,0.46929945054945055
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-H,5925935,136301,7280,14097.0,8,0.4841002747252747
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-H,10259030,136161,7280,15367.0,7,0.527712912087912
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-H,16203410,149225,7280,16689.0,6,0.5731112637362638
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,TS_2DIFF+BOS-H,26104695,188168,7280,18696.0,5,0.6420329670329671
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-H,3188742,115061,7280,11032.0,13,0.37884615384615383
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-H,3387785,107146,7280,10968.0,12,0.37664835164835164
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-H,3220836,109716,7280,10948.0,11,0.37596153846153846
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-H,2839053,106762,7280,11021.0,10,0.3784684065934066
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-H,2329689,104550,7280,11129.0,9,0.3821771978021978
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-H,1938589,110855,7280,11396.0,8,0.39134615384615384
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-H,1962487,134708,7280,11940.0,7,0.4100274725274725
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-H,2056844,157778,7280,13193.0,6,0.4530563186813187
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,TS_2DIFF+BOS-H,2544886,182785,7280,16404.0,5,0.5633241758241758
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-H,175213,108530,7280,6183.0,13,0.2123282967032967
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,TS_2DIFF+BOS-H,202780,113427,7280,6204.0,12,0.21304945054945054
