Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-H,15566858,442395,25224,40658.0,13,0.40296939422771966
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-H,14744334,441391,25224,40597.0,12,0.4023648112908341
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-H,13116015,425387,25224,40373.0,11,0.4001447034570251
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-H,11907749,421461,25224,40182.0,10,0.39825166508087534
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-H,9341622,454136,25224,40383.0,9,0.40024381541389153
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-H,8351181,494578,25224,41087.0,8,0.40722129717729144
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-H,8265935,547889,25224,43030.0,7,0.42647875039644784
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-H,9391171,639051,25224,47309.0,6,0.46888875673961306
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,TS_2DIFF+BOS-H,11784227,796441,25224,56809.0,5,0.5630451157627656
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-H,52934262,1870126,99999,155265.0,13,0.3881663816638166
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-H,51839635,1738420,99999,154655.0,12,0.38664136641366414
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-H,47147663,1755186,99999,154176.0,11,0.3854438544385444
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-H,40626921,1815448,99999,154166.0,10,0.3854188541885419
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-H,33935218,1920128,99999,155158.0,9,0.3878988789887899
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-H,30092478,2090061,99999,158504.0,8,0.3962639626396264
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-H,28344344,2248938,99999,166661.0,7,0.41665666656666567
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-H,31855610,2637161,99999,183674.0,6,0.45918959189591896
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,TS_2DIFF+BOS-H,39528884,3262429,99999,222493.0,5,0.5562380623806238
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-H,54859228,1836326,99999,157370.0,13,0.3934289342893429
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-H,51575275,1715197,99999,156544.0,12,0.3913639136391364
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-H,47603934,1698546,99999,156382.0,11,0.3909589095890959
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-H,41627056,1720383,99999,156468.0,10,0.39117391173911736
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-H,36611966,1827204,99999,157493.0,9,0.39373643736437364
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-H,32792504,1998092,99999,160802.0,8,0.4020090200902009
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-H,32958152,2154038,99999,168473.0,7,0.42118671186711865
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-H,37718470,2542183,99999,185312.0,6,0.4632846328463285
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,TS_2DIFF+BOS-H,46704241,3179529,99999,223636.0,5,0.5590955909559095
