Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-H,519848,344293,29512,22072.0,13,0.1869747899159664
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-H,586171,394274,29512,21857.0,12,0.18515349688262403
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-H,684946,420281,29512,21820.0,11,0.18484006505828138
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-H,841975,429062,29512,21732.0,10,0.18409460558416915
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-H,1140351,485739,29512,21774.0,9,0.18445039306045
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-H,1573314,468343,29512,22614.0,8,0.1915661425860667
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-H,2320641,501116,29512,25309.0,7,0.2143958389807536
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-H,3427981,621751,29512,30889.0,6,0.2616647465437788
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,TS_2DIFF+BOS-H,5074915,1032036,29512,43241.0,5,0.36630014909189484
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,TS_2DIFF+BOS-H,1052517,760302,51222,27538.0,13,0.1344051384170864
