Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-H,127881003,1642567,75809,133525.0,13,0.440333601551267
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-H,97357312,1414947,75809,133561.0,12,0.4404523209645293
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-H,66790697,1275847,75809,133302.0,11,0.43959820074133676
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-H,43552635,1363982,75809,133174.0,10,0.4391760872719598
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-H,32048475,1490221,75809,134100.0,9,0.44222981440198394
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-H,25845757,1510595,75809,137214.0,8,0.45249904364917093
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-H,26531220,1636781,75809,143852.0,7,0.4743895843501431
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-H,32734719,1825800,75809,158137.0,6,0.5214981070849107
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,TS_2DIFF+BOS-H,46584139,1967198,75809,193895.0,5,0.6394194620691475
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-H,176340531,1535623,75809,141019.0,13,0.4650470260786978
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-H,122629150,1455736,75809,141237.0,12,0.46576593808123046
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-H,80928427,1448008,75809,141630.0,11,0.467061958342677
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-H,54490586,1494231,75809,142576.0,10,0.4701816407022913
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-H,40369905,1551716,75809,144288.0,9,0.4758274083552085
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,TS_2DIFF+BOS-H,38359086,1637928,75809,147718.0,8,0.48713873022991994
