Encoding,Dataset,Block Size,Time
TS_2DIFF+BOS-V,EPM-Education,5,4766.290506660221
TS_2DIFF+BOS-V,EPM-Education,6,12359.436943002476
TS_2DIFF+BOS-V,EPM-Education,7,35562.68432454067
TS_2DIFF+BOS-V,EPM-Education,8,109824.39280428326
TS_2DIFF+BOS-V,EPM-Education,9,337235.84084510687
TS_2DIFF+BOS-V,EPM-Education,10,951925.1667523336
TS_2DIFF+BOS-V,EPM-Education,11,2400764.039132938
TS_2DIFF+BOS-V,EPM-Education,12,5477923.487891675
TS_2DIFF+BOS-V,EPM-Education,13,11794561.698288748
TS_2DIFF+BOS-L,EPM-Education,5,6035.370632095157
TS_2DIFF+BOS-L,EPM-Education,6,7937.73284419809
TS_2DIFF+BOS-L,EPM-Education,7,11148.839982710007
TS_2DIFF+BOS-L,EPM-Education,8,16877.71909823126
TS_2DIFF+BOS-L,EPM-Education,9,27610.024501082313
TS_2DIFF+BOS-L,EPM-Education,10,48935.58890450941
TS_2DIFF+BOS-L,EPM-Education,11,91254.2465350819
TS_2DIFF+BOS-L,EPM-Education,12,173932.26463963976
TS_2DIFF+BOS-L,EPM-Education,13,342445.38945809373
TS_2DIFF+BOS-H,EPM-Education,5,14181.57858826923
TS_2DIFF+BOS-H,EPM-Education,6,22785.252085518
TS_2DIFF+BOS-H,EPM-Education,7,40137.91093688926
TS_2DIFF+BOS-H,EPM-Education,8,81914.61247859545
TS_2DIFF+BOS-H,EPM-Education,9,183607.5467912053
TS_2DIFF+BOS-H,EPM-Education,10,441899.730802649
TS_2DIFF+BOS-H,EPM-Education,11,1001818.1191205379
TS_2DIFF+BOS-H,EPM-Education,12,2210058.731202675
TS_2DIFF+BOS-H,EPM-Education,13,4628726.805610004
TS_2DIFF+BOS-V,GW-Magnetic,5,11199.916339470023
TS_2DIFF+BOS-V,GW-Magnetic,6,22635.97170213644
TS_2DIFF+BOS-V,GW-Magnetic,7,47092.131167915024
TS_2DIFF+BOS-V,GW-Magnetic,8,116569.20837459063
TS_2DIFF+BOS-V,GW-Magnetic,9,332052.23844015994
TS_2DIFF+BOS-V,GW-Magnetic,10,1073385.8420389262
TS_2DIFF+BOS-V,GW-Magnetic,11,3378994.3713818323
TS_2DIFF+BOS-V,GW-Magnetic,12,10320994.812398193
TS_2DIFF+BOS-V,GW-Magnetic,13,27951070.066088036
TS_2DIFF+BOS-L,GW-Magnetic,5,6624.523658840954
TS_2DIFF+BOS-L,GW-Magnetic,6,9073.63541518218
TS_2DIFF+BOS-L,GW-Magnetic,7,12773.721580258769
TS_2DIFF+BOS-L,GW-Magnetic,8,19337.831732905244
TS_2DIFF+BOS-L,GW-Magnetic,9,31464.553241904105
TS_2DIFF+BOS-L,GW-Magnetic,10,53524.644378950485
TS_2DIFF+BOS-L,GW-Magnetic,11,97397.27521815155
TS_2DIFF+BOS-L,GW-Magnetic,12,183753.78346730082
TS_2DIFF+BOS-L,GW-Magnetic,13,358805.0529277695
TS_2DIFF+BOS-H,GW-Magnetic,5,45790.226126534006
TS_2DIFF+BOS-H,GW-Magnetic,6,79142.51208774884
TS_2DIFF+BOS-H,GW-Magnetic,7,129655.51199239316
TS_2DIFF+BOS-H,GW-Magnetic,8,219604.40183487575
TS_2DIFF+BOS-H,GW-Magnetic,9,397087.4390119101
TS_2DIFF+BOS-H,GW-Magnetic,10,751344.1923149305
TS_2DIFF+BOS-H,GW-Magnetic,11,1737127.2131386304
TS_2DIFF+BOS-H,GW-Magnetic,12,4453793.221542733
TS_2DIFF+BOS-H,GW-Magnetic,13,11267065.614299126
TS_2DIFF+BOS-V,Metro-Traffic,5,3608.7314067589155
TS_2DIFF+BOS-V,Metro-Traffic,6,9440.076343796029
TS_2DIFF+BOS-V,Metro-Traffic,7,27853.743211003464
