Encoding,Dataset,Compression Ratio
BUFF,EPM-Education,1.9197061099650778
CHIMP,EPM-Education,2.6125630425863386
GORILLA,EPM-Education,1.798120004391522
PLAIN,EPM-Education,2.263824712214896
RLBE,EPM-Education,1.2053491995637835
RLE,EPM-Education,1.9187183432102448
SPRINTZ,EPM-Education,2.4782630554190908
TS_2DIFF,EPM-Education,2.0956543075245437
TS_2DIFF+BOS-O,EPM-Education,2.5535295744856
Elf,EPM-Education,1.6264652700926625
RLE+FASTPFOR,EPM-Education,2.837594975658015
RLE+NEWPFOR,EPM-Education,2.782406243157258
RLE+OPTPFOR,EPM-Education,2.8315602276267597
RLE+PFOR,EPM-Education,2.6983608362692824
SPRINTZ+FASTPFOR,EPM-Education,2.472836768379187
SPRINTZ+NEWPFOR,EPM-Education,2.4426044372218394
SPRINTZ+OPTPFOR,EPM-Education,2.488525520890947
SPRINTZ+PFOR,EPM-Education,2.3802686528819397
TS_2DIFF+FASTPFOR,EPM-Education,2.0031692337930744
TS_2DIFF+NEWPFOR,EPM-Education,1.9250076657458117
TS_2DIFF+OPTPFOR,EPM-Education,1.9252909319130624
TS_2DIFF+PFOR,EPM-Education,1.9859487023942497
SPRINTZ+BOS-O,EPM-Education,2.6664877848175803
RLE+BOS-O,EPM-Education,3.01980715739345
TS_2DIFF+BOS-A,EPM-Education,2.3444894876127242
RLE+BOS-A,EPM-Education,2.970627242537805
SPRINTZ+BOS-A,EPM-Education,2.6624057130782153
TS_2DIFF+BWS,EPM-Education,2.286470565353057
RLE+BWS,EPM-Education,2.8377148640991
SPRINTZ+BWS,EPM-Education,2.4399136588200436
TS_2DIFF+BOS-P,EPM-Education,2.5535295744856
SPRINTZ+BOS-P,EPM-Education,2.6664877848175803
RLE+BOS-P,EPM-Education,3.0198679541271654
BUFF,GW-Magnetic,1.6837863708856275
CHIMP,GW-Magnetic,2.297284999513541
GORILLA,GW-Magnetic,2.166747723436882
PLAIN,GW-Magnetic,1.3556302265183044
RLBE,GW-Magnetic,1.6416932555973909
RLE,GW-Magnetic,2.1458555336449336
SPRINTZ,GW-Magnetic,2.3205619047000052
TS_2DIFF,GW-Magnetic,1.7456282041745876
TS_2DIFF+BOS-O,GW-Magnetic,2.4889886589602956
Elf,GW-Magnetic,2.0669729226750744
RLE+FASTPFOR,GW-Magnetic,2.240854761240304
RLE+NEWPFOR,GW-Magnetic,2.109676002460784
RLE+OPTPFOR,GW-Magnetic,2.1232479245452374
RLE+PFOR,GW-Magnetic,2.0736282287598704
SPRINTZ+FASTPFOR,GW-Magnetic,2.6560214507963984
SPRINTZ+NEWPFOR,GW-Magnetic,2.356623219716599
SPRINTZ+OPTPFOR,GW-Magnetic,2.719879165358143
SPRINTZ+PFOR,GW-Magnetic,2.4185140917033467
TS_2DIFF+FASTPFOR,GW-Magnetic,1.654592927155301
TS_2DIFF+NEWPFOR,GW-Magnetic,1.5880917077340837
TS_2DIFF+OPTPFOR,GW-Magnetic,1.5880917077340837
TS_2DIFF+PFOR,GW-Magnetic,1.6238161108070335
SPRINTZ+BOS-O,GW-Magnetic,2.845974598875738
RLE+BOS-O,GW-Magnetic,2.343602468106654
TS_2DIFF+BOS-A,GW-Magnetic,1.7212347059240511
RLE+BOS-A,GW-Magnetic,2.210881819072693
SPRINTZ+BOS-A,GW-Magnetic,1.9393811936419127
TS_2DIFF+BWS,GW-Magnetic,1.852714817768188
RLE+BWS,GW-Magnetic,2.3160835823504353
SPRINTZ+BWS,GW-Magnetic,2.514921341747937
TS_2DIFF+BOS-P,GW-Magnetic,2.4889886589602956
SPRINTZ+BOS-P,GW-Magnetic,2.845922566536292
RLE+BOS-P,GW-Magnetic,2.3456528669405596
BUFF,Metro-Traffic,2.4610318331503818
CHIMP,Metro-Traffic,2.30182056945025
GORILLA,Metro-Traffic,2.5036292573981
PLAIN,Metro-Traffic,2.0011831985801654
RLBE,Metro-Traffic,1.3732852808364542
RLE,Metro-Traffic,2.4551404487228434
SPRINTZ,Metro-Traffic,2.4093368488135227
TS_2DIFF,Metro-Traffic,2.383396375682961
TS_2DIFF+BOS-O,Metro-Traffic,2.635555920063424
Elf,Metro-Traffic,1.7948560417772068
RLE+FASTPFOR,Metro-Traffic,2.423600985469355
RLE+NEWPFOR,Metro-Traffic,2.3986365445859876
RLE+OPTPFOR,Metro-Traffic,2.3986365445859876
RLE+PFOR,Metro-Traffic,2.4242104204385435
SPRINTZ+FASTPFOR,Metro-Traffic,2.523849416199801
SPRINTZ+NEWPFOR,Metro-Traffic,2.4859721505930894
SPRINTZ+OPTPFOR,Metro-Traffic,2.505874402162612
SPRINTZ+PFOR,Metro-Traffic,2.478175929258136
TS_2DIFF+FASTPFOR,Metro-Traffic,2.3993529118964663
TS_2DIFF+NEWPFOR,Metro-Traffic,2.382512850929221
TS_2DIFF+OPTPFOR,Metro-Traffic,2.3826306163808018
TS_2DIFF+PFOR,Metro-Traffic,2.4225047743491808
SPRINTZ+BOS-O,Metro-Traffic,2.860712166172107
RLE+BOS-O,Metro-Traffic,2.477284407441669
TS_2DIFF+BOS-A,Metro-Traffic,2.6218656513462064
RLE+BOS-A,Metro-Traffic,2.462131756713616
SPRINTZ+BOS-A,Metro-Traffic,2.793162393162393
TS_2DIFF+BWS,Metro-Traffic,2.5410791006615883
RLE+BWS,Metro-Traffic,2.479004345701869
SPRINTZ+BWS,Metro-Traffic,2.6503732010061993
TS_2DIFF+BOS-P,Metro-Traffic,2.635664001093568
SPRINTZ+BOS-P,Metro-Traffic,2.8609244009199504
RLE+BOS-P,Metro-Traffic,2.479004345701869
BUFF,Nifty-Stocks,1.5583324582589528
CHIMP,Nifty-Stocks,1.7829038265152906
GORILLA,Nifty-Stocks,1.4780876494023905
PLAIN,Nifty-Stocks,1.1567542287005999
RLBE,Nifty-Stocks,1.1499864388391652
RLE,Nifty-Stocks,1.5570244465428598
SPRINTZ,Nifty-Stocks,1.6639569434321901
TS_2DIFF,Nifty-Stocks,1.8636192389802806
TS_2DIFF+BOS-O,Nifty-Stocks,2.030095759233926
Elf,Nifty-Stocks,1.788913088743446
RLE+FASTPFOR,Nifty-Stocks,1.804782155663816
RLE+NEWPFOR,Nifty-Stocks,1.568034461664227
RLE+OPTPFOR,Nifty-Stocks,1.617489084204073
RLE+PFOR,Nifty-Stocks,1.4951146809242677
SPRINTZ+FASTPFOR,Nifty-Stocks,2.1307022986788624
SPRINTZ+NEWPFOR,Nifty-Stocks,2.054779944387937
SPRINTZ+OPTPFOR,Nifty-Stocks,2.084413749442105
SPRINTZ+PFOR,Nifty-Stocks,2.0352242513499568
TS_2DIFF+FASTPFOR,Nifty-Stocks,1.8076823931374317
TS_2DIFF+NEWPFOR,Nifty-Stocks,1.6524786229869626
TS_2DIFF+OPTPFOR,Nifty-Stocks,1.6549357172323746
TS_2DIFF+PFOR,Nifty-Stocks,1.6771396289617797
SPRINTZ+BOS-O,Nifty-Stocks,2.0626867746195012
RLE+BOS-O,Nifty-Stocks,1.7311169437153688
TS_2DIFF+BOS-A,Nifty-Stocks,2.1198763821125497
RLE+BOS-A,Nifty-Stocks,1.8644185076417152
SPRINTZ+BOS-A,Nifty-Stocks,2.2748240333313094
TS_2DIFF+BWS,Nifty-Stocks,1.9530170428374023
RLE+BWS,Nifty-Stocks,1.713526932625137
SPRINTZ+BWS,Nifty-Stocks,1.9448266823930282
TS_2DIFF+BOS-P,Nifty-Stocks,2.030095759233926
SPRINTZ+BOS-P,Nifty-Stocks,2.0626867746195012
RLE+BOS-P,Nifty-Stocks,1.7315209147657664
