Encoding,Dataset,Decoding Time
BUFF,EPM-Education,0.42977565122939526
CHIMP,EPM-Education,0.15433468400652925
GORILLA,EPM-Education,0.07891101548186431
PLAIN,EPM-Education,7.139715921421821
RLBE,EPM-Education,29.587764871067677
RLE,EPM-Education,6.674184932857892
SPRINTZ,EPM-Education,26.158414168981523
TS_2DIFF,EPM-Education,7.058830576015878
Elf,EPM-Education,26.34663328708292
TS_2DIFF+BOS-O,EPM-Education,17.777144488856877
RLE+FASTPFOR,EPM-Education,16.450867996627952
RLE+NEWPFOR,EPM-Education,16.630820046307033
RLE+OPTPFOR,EPM-Education,16.694546262383017
RLE+PFOR,EPM-Education,17.40962585410821
SPRINTZ+FASTPFOR,EPM-Education,25.045160216905057
SPRINTZ+NEWPFOR,EPM-Education,25.296941689683308
SPRINTZ+OPTPFOR,EPM-Education,25.74847807390221
SPRINTZ+PFOR,EPM-Education,25.591839272737797
TS_2DIFF+FASTPFOR,EPM-Education,16.769595524610494
TS_2DIFF+NEWPFOR,EPM-Education,16.661501807295267
TS_2DIFF+OPTPFOR,EPM-Education,16.860648223513635
TS_2DIFF+PFOR,EPM-Education,16.80296047053398
SPRINTZ+BOS-O,EPM-Education,25.40741692145751
RLE+BOS-O,EPM-Education,25.83561515404244
TS_2DIFF+BOS-A,EPM-Education,172.85141381821367
RLE+BOS-A,EPM-Education,35.14526733159815
SPRINTZ+BOS-A,EPM-Education,40.79297188825044
TS_2DIFF+BWS,EPM-Education,13.347560779762569
RLE+BWS,EPM-Education,25.696305176261404
SPRINTZ+BWS,EPM-Education,22.568024248669378
TS_2DIFF+BOS-P,EPM-Education,17.98364381280984
SPRINTZ+BOS-P,EPM-Education,25.49705046170347
RLE+BOS-P,EPM-Education,25.026501089225928
BUFF,GW-Magnetic,0.641287573482539
CHIMP,GW-Magnetic,0.15303687481396816
GORILLA,GW-Magnetic,0.07162161771434557
PLAIN,GW-Magnetic,5.762883626751722
RLBE,GW-Magnetic,22.91999549522913
RLE,GW-Magnetic,6.548370515423087
SPRINTZ,GW-Magnetic,19.199159463395006
TS_2DIFF,GW-Magnetic,7.388864160032483
Elf,GW-Magnetic,58.40674461160843
TS_2DIFF+BOS-O,GW-Magnetic,21.130044434184
RLE+FASTPFOR,GW-Magnetic,18.95724707914116
RLE+NEWPFOR,GW-Magnetic,16.84099296052253
RLE+OPTPFOR,GW-Magnetic,16.92383263239148
RLE+PFOR,GW-Magnetic,18.01695269259671
SPRINTZ+FASTPFOR,GW-Magnetic,24.81010495614769
SPRINTZ+NEWPFOR,GW-Magnetic,26.013806934587436
SPRINTZ+OPTPFOR,GW-Magnetic,26.016383154255504
SPRINTZ+PFOR,GW-Magnetic,26.608762704641077
