Encoding,Dataset,Encoding Time
BUFF,EPM-Education,59.79942387831744
CHIMP,EPM-Education,21.184787942471875
GORILLA,EPM-Education,17.992215521187877
PLAIN,EPM-Education,11.502666759937503
RLBE,EPM-Education,873.3266553586087
RLE,EPM-Education,22.920508639751798
SPRINTZ,EPM-Education,61.840871794382394
TS_2DIFF,EPM-Education,8.172407618066032
Elf,EPM-Education,50.34567596960687
TS_2DIFF+BOS-O,EPM-Education,510.52733619629254
RLE+FASTPFOR,EPM-Education,70.16300763150353
RLE+NEWPFOR,EPM-Education,90.40828347032281
RLE+OPTPFOR,EPM-Education,239.5746907853633
RLE+PFOR,EPM-Education,87.1765455265558
SPRINTZ+FASTPFOR,EPM-Education,33.50733620323834
SPRINTZ+NEWPFOR,EPM-Education,48.59716080827158
SPRINTZ+OPTPFOR,EPM-Education,192.3087486119866
SPRINTZ+PFOR,EPM-Education,47.63225080990105
TS_2DIFF+FASTPFOR,EPM-Education,39.47370924787586
TS_2DIFF+NEWPFOR,EPM-Education,41.79057202917414
TS_2DIFF+OPTPFOR,EPM-Education,66.8217825260238
TS_2DIFF+PFOR,EPM-Education,47.61256605985026
SPRINTZ+BOS-O,EPM-Education,526.2521662819704
RLE+BOS-O,EPM-Education,278.78565720124374
TS_2DIFF+BOS-A,EPM-Education,147.27930972855557
RLE+BOS-A,EPM-Education,51.81390617664502
SPRINTZ+BOS-A,EPM-Education,52.61123073964644
TS_2DIFF+BWS,EPM-Education,96.66615817442666
RLE+BWS,EPM-Education,108.80839191558739
SPRINTZ+BWS,EPM-Education,114.76978151481482
TS_2DIFF+BOS-P,EPM-Education,436.43984264771285
SPRINTZ+BOS-P,EPM-Education,433.0824064227004
RLE+BOS-P,EPM-Education,248.26545515455155
BUFF,GW-Magnetic,76.55696736342689
CHIMP,GW-Magnetic,21.266578082502527
GORILLA,GW-Magnetic,15.713035694616618
PLAIN,GW-Magnetic,18.271153553019573
RLBE,GW-Magnetic,635.0173477269836
RLE,GW-Magnetic,15.619006321198748
SPRINTZ,GW-Magnetic,59.711493818252656
TS_2DIFF,GW-Magnetic,8.534173066197862
Elf,GW-Magnetic,89.43930046318171
TS_2DIFF+BOS-O,GW-Magnetic,549.7149377554014
RLE+FASTPFOR,GW-Magnetic,70.64851877077656
RLE+NEWPFOR,GW-Magnetic,73.93980596510464
RLE+OPTPFOR,GW-Magnetic,99.29237745355837
RLE+PFOR,GW-Magnetic,78.05289253843357
SPRINTZ+FASTPFOR,GW-Magnetic,31.194085918598518
SPRINTZ+NEWPFOR,GW-Magnetic,44.873213742930176
SPRINTZ+OPTPFOR,GW-Magnetic,176.94930966869185
SPRINTZ+PFOR,GW-Magnetic,58.33446856660491
TS_2DIFF+FASTPFOR,GW-Magnetic,48.69840912425039
TS_2DIFF+NEWPFOR,GW-Magnetic,49.83737833291457
TS_2DIFF+OPTPFOR,GW-Magnetic,75.69326299938967
TS_2DIFF+PFOR,GW-Magnetic,55.13053826748291
SPRINTZ+BOS-O,GW-Magnetic,567.261308987924
RLE+BOS-O,GW-Magnetic,580.2375707892552
TS_2DIFF+BOS-A,GW-Magnetic,439.1793311526049
RLE+BOS-A,GW-Magnetic,94.04895217941228
SPRINTZ+BOS-A,GW-Magnetic,216.51735711916876
TS_2DIFF+BWS,GW-Magnetic,106.2857663516339
RLE+BWS,GW-Magnetic,93.4863935486689
