Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,991125.0,409333.0,0,0,25224,52644,0.5217649857278782
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,RLE+NEWPFOR,NOCOMPRESSION,2303291.0,418625.0,0,0,25224,36864,0.3653663177925785
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,1300584.0,647708.0,0,0,25224,41900,0.415279099270536
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,4347667.0,1647083.0,0,0,99999,203520,0.5088050880508805
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,RLE+NEWPFOR,NOCOMPRESSION,8994166.0,1668917.0,0,0,99999,142484,0.35621356213562133
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,4598375.0,2593583.0,0,0,99999,161212,0.4030340303403034
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,4260125.0,1728542.0,0,0,99999,211144,0.5278652786527865
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,RLE+NEWPFOR,NOCOMPRESSION,8996792.0,1660666.0,0,0,99999,142648,0.3566235662356624
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,4824542.0,2427625.0,0,0,99999,163952,0.4098840988409884
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,1792583.0,429458.0,0,0,25224,52636,0.521685696162385
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,RLE+OPTPFOR,NOCOMPRESSION,6201209.0,425833.0,0,0,25224,36152,0.3583095464636854
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,4980667.0,695750.0,0,0,25224,41156,0.40790516967967017
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,6720583.0,1668042.0,0,0,99999,203460,0.5086550865508656
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,RLE+OPTPFOR,NOCOMPRESSION,2.3618084E7,1634708.0,0,0,99999,140536,0.35134351343513437
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,1.8226916E7,2397958.0,0,0,99999,159092,0.3977339773397734
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,6219166.0,1687542.0,0,0,99999,211144,0.5278652786527865
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,RLE+OPTPFOR,NOCOMPRESSION,2.3669292E7,1685417.0,0,0,99999,139932,0.34983349833498334
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,1.9719583E7,2568250.0,0,0,99999,159956,0.3998939989399894
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,TS_2DIFF+FASTPFOR,NOCOMPRESSION,990250.0,400959.0,0,0,25224,52508,0.5204170631144941
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,RLE+FASTPFOR,NOCOMPRESSION,1773250.0,469750.0,0,0,25224,36188,0.3586663495084047
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,SPRINTZ+FASTPFOR,NOCOMPRESSION,886458.0,640416.0,0,0,25224,41512,0.41143355534411674
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,TS_2DIFF+FASTPFOR,NOCOMPRESSION,3815875.0,1668334.0,0,0,99999,189672,0.4741847418474185
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,RLE+FASTPFOR,NOCOMPRESSION,7071667.0,1526500.0,0,0,99999,139628,0.34907349073490734
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,SPRINTZ+FASTPFOR,NOCOMPRESSION,3256250.0,2488583.0,0,0,99999,159532,0.39883398833988337
