Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,910458.0,335375.0,0,0,18353,45364,0.6179371219964038
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,RLE+NEWPFOR,NOCOMPRESSION,1798417.0,324375.0,0,0,18353,44676,0.6085653571623167
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,940958.0,524375.0,0,0,18353,36904,0.5026971067400425
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,3051584.0,1011959.0,0,0,58373,150000,0.6424202970551454
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,RLE+NEWPFOR,NOCOMPRESSION,3074584.0,967375.0,0,0,58373,80488,0.34471416579583025
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,2263000.0,1535584.0,0,0,58373,81048,0.3471125349048361
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,2935958.0,962334.0,0,0,58373,150000,0.6424202970551454
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,RLE+NEWPFOR,NOCOMPRESSION,3169792.0,995291.0,0,0,58373,80488,0.34471416579583025
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,2156500.0,1381208.0,0,0,58373,81048,0.3471125349048361
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,838875.0,309875.0,0,0,17785,43820,0.6159685127916784
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,1,RLE+NEWPFOR,NOCOMPRESSION,1614792.0,285750.0,0,0,17785,42544,0.5980320494798987
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,933917.0,453792.0,0,0,17785,35600,0.5004217036828789
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,1322542.0,291583.0,0,0,18353,45364,0.6179371219964038
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,RLE+OPTPFOR,NOCOMPRESSION,2158667.0,286291.0,0,0,18353,44444,0.6054051108810549
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,3916375.0,478833.0,0,0,18353,35256,0.480248460742113
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,4662583.0,998125.0,0,0,58373,150000,0.6424202970551454
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,RLE+OPTPFOR,NOCOMPRESSION,4922208.0,1021292.0,0,0,58373,79744,0.34152776112243677
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,7664000.0,1537917.0,0,0,58373,60256,0.25806451612903225
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,4849625.0,1031959.0,0,0,58373,150000,0.6424202970551454
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,RLE+OPTPFOR,NOCOMPRESSION,4681250.0,1015792.0,0,0,58373,79744,0.34152776112243677
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,9618167.0,1552500.0,0,0,58373,60256,0.25806451612903225
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,1205042.0,285417.0,0,0,17785,43820,0.6159685127916784
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,1,RLE+OPTPFOR,NOCOMPRESSION,2045833.0,305875.0,0,0,17785,42360,0.5954456002249087
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,3527500.0,445208.0,0,0,17785,33740,0.47427607534439137
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,TS_2DIFF+FASTPFOR,NOCOMPRESSION,1030875.0,529417.0,0,0,18353,43784,0.5964147550809132
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,RLE+FASTPFOR,NOCOMPRESSION,1726167.0,415708.0,0,0,18353,41888,0.5705879147823244
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,SPRINTZ+FASTPFOR,NOCOMPRESSION,721291.0,479667.0,0,0,18353,34804,0.4740914291941372
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,TS_2DIFF+FASTPFOR,NOCOMPRESSION,2853834.0,1056292.0,0,0,58373,143136,0.6130231442619019
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,RLE+FASTPFOR,NOCOMPRESSION,2983167.0,1054750.0,0,0,58373,76224,0.32645229815154264
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,SPRINTZ+FASTPFOR,NOCOMPRESSION,1344625.0,1323917.0,0,0,58373,65536,0.2806777105853734
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,TS_2DIFF+FASTPFOR,NOCOMPRESSION,2677875.0,1007667.0,0,0,58373,143136,0.6130231442619019
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,RLE+FASTPFOR,NOCOMPRESSION,2952542.0,1026083.0,0,0,58373,76224,0.32645229815154264
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,SPRINTZ+FASTPFOR,NOCOMPRESSION,1427875.0,1426667.0,0,0,58373,65536,0.2806777105853734
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,1,TS_2DIFF+FASTPFOR,NOCOMPRESSION,780041.0,317250.0,0,0,17785,42332,0.5950520101208884
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,1,RLE+FASTPFOR,NOCOMPRESSION,1544708.0,311791.0,0,0,17785,39948,0.5615406241214507
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic2.csv,1,SPRINTZ+FASTPFOR,NOCOMPRESSION,675458.0,462125.0,0,0,17785,33476,0.4705650829350576
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,TS_2DIFF+PFOR,NOCOMPRESSION,1012791.0,320792.0,0,0,18353,44464,0.6056775459053015
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,RLE+PFOR,NOCOMPRESSION,1800833.0,309625.0,0,0,18353,46048,0.6272543998256416
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,SPRINTZ+PFOR,NOCOMPRESSION,950542.0,481334.0,0,0,18353,37640,0.5127227156323217
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,TS_2DIFF+PFOR,NOCOMPRESSION,3425541.0,1053125.0,0,0,58373,146800,0.6287153307179689
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,RLE+PFOR,NOCOMPRESSION,3502041.0,1065500.0,0,0,58373,79896,0.34217874702345263
