Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,4020458.0,1522458.0,0,0,75809,154696,0.5101505098339247
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,RLE+NEWPFOR,NOCOMPRESSION,6746708.0,1250125.0,0,0,75809,154920,0.5108892084053345
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,4490917.0,1953709.0,0,0,75809,145640,0.4802859818755029
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,3608792.0,1273334.0,0,0,75809,159784,0.52692952024166
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,RLE+NEWPFOR,NOCOMPRESSION,6873833.0,1240583.0,0,0,75809,152244,0.5020643986861718
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,4435958.0,1946167.0,0,0,75809,155152,0.5116542890685802
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,TS_2DIFF+NEWPFOR,NOCOMPRESSION,3932375.0,1473083.0,0,0,75809,172136,0.5676634700365392
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,RLE+NEWPFOR,NOCOMPRESSION,7155750.0,1289625.0,0,0,75809,133092,0.43890567083064014
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,SPRINTZ+NEWPFOR,NOCOMPRESSION,4071833.0,1871083.0,0,0,75809,154208,0.508541202231925
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,5977500.0,1320959.0,0,0,75809,154696,0.5101505098339247
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,RLE+OPTPFOR,NOCOMPRESSION,1.1814542E7,1249583.0,0,0,75809,154920,0.5108892084053345
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,1.9191375E7,1891667.0,0,0,75809,137984,0.4550383199883919
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,6254959.0,1272208.0,0,0,75809,159784,0.52692952024166
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,RLE+OPTPFOR,NOCOMPRESSION,1.3193542E7,1305417.0,0,0,75809,142468,0.46982548246250444
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,2.1298208E7,1915666.0,0,0,75809,153124,0.5049664287881386
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,TS_2DIFF+OPTPFOR,NOCOMPRESSION,5419333.0,1350584.0,0,0,75809,167728,0.5531269374348692
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,RLE+OPTPFOR,NOCOMPRESSION,1.302525E7,1228125.0,0,0,75809,129760,0.4279175295809205
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,SPRINTZ+OPTPFOR,NOCOMPRESSION,1.7041875E7,1919917.0,0,0,75809,145028,0.47826775185004416
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,TS_2DIFF+FASTPFOR,NOCOMPRESSION,3149500.0,1662166.0,0,0,75809,139488,0.45999815325357146
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,RLE+FASTPFOR,NOCOMPRESSION,5970291.0,1273750.0,0,0,75809,134848,0.4446965399886557
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,SPRINTZ+FASTPFOR,NOCOMPRESSION,2803167.0,1953375.0,0,0,75809,135428,0.4466092416467702
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,TS_2DIFF+FASTPFOR,NOCOMPRESSION,3247875.0,1380458.0,0,0,75809,162748,0.5367040852669208
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,RLE+FASTPFOR,NOCOMPRESSION,6194000.0,1616208.0,0,0,75809,139736,0.4608159981004894
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,SPRINTZ+FASTPFOR,NOCOMPRESSION,3114584.0,2181583.0,0,0,75809,149108,0.49172261868643563
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,TS_2DIFF+FASTPFOR,NOCOMPRESSION,3428792.0,1540583.0,0,0,75809,167496,0.5523618567716234
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,RLE+FASTPFOR,NOCOMPRESSION,5888042.0,1277375.0,0,0,75809,129040,0.42554314131567494
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,SPRINTZ+FASTPFOR,NOCOMPRESSION,3027500.0,2162333.0,0,0,75809,144352,0.476038465089897
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,TS_2DIFF+PFOR,NOCOMPRESSION,3982458.0,1314417.0,0,0,75809,152700,0.5035681779208273
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,RLE+PFOR,NOCOMPRESSION,7281334.0,1337791.0,0,0,75809,153476,0.5061272408289254
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,SPRINTZ+PFOR,NOCOMPRESSION,4405708.0,2043125.0,0,0,75809,150104,0.49500718912002534
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,TS_2DIFF+PFOR,NOCOMPRESSION,4349916.0,1307459.0,0,0,75809,153492,0.5061800050125974
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,RLE+PFOR,NOCOMPRESSION,6748708.0,1317625.0,0,0,75809,153464,0.5060876676911712
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,SPRINTZ+PFOR,NOCOMPRESSION,3925375.0,1951375.0,0,0,75809,153392,0.5058502288646467
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,TS_2DIFF+PFOR,NOCOMPRESSION,4327958.0,1385583.0,0,0,75809,173452,0.5720033241435714
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,RLE+PFOR,NOCOMPRESSION,7013209.0,1311791.0,0,0,75809,137208,0.4524792570802939
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes2.csv,1,SPRINTZ+PFOR,NOCOMPRESSION,3996125.0,1934958.0,0,0,75809,155556,0.5129865847063013
