Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,1,PLAIN,UNCOMPRESSED,114226,56889,1540,1792,7280,18458.0,0.6338598901098894
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,1,TS_2DIFF,UNCOMPRESSED,62632,54912,1880,1369,7280,16587.0,0.5696085164835176
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,1,RLE,UNCOMPRESSED,123790,46393,1127,1536,7280,11358.0,0.39004120879120946
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,1,SPRINTZ,UNCOMPRESSED,425107,136976,1749,1334,7280,15685.0,0.538633241758241
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,1,GORILLA,UNCOMPRESSED,93107,523,1665,1707,7280,10409.0,0.3574519230769227
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,1,RLBE,UNCOMPRESSED,4424591,154662,1288,2124,7280,16612.0,0.5704670329670323
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,1,CHIMP,UNCOMPRESSED,138269,1019,1413,1461,7280,11350.0,0.3897664835164825
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle0.csv,1,BUFF,UNCOMPRESSED,392987,2908,1419,1500,7280,15486.0,0.5317994505494498
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,1,PLAIN,UNCOMPRESSED,88960,39973,1251,1620,7280,14319.0,0.4917239010989008
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,1,TS_2DIFF,UNCOMPRESSED,57792,49918,1457,1295,7280,12686.0,0.4356456043956036
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,1,RLE,UNCOMPRESSED,122624,56813,958,1707,7280,29154.0,1.0011675824175807
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,1,SPRINTZ,UNCOMPRESSED,462829,147107,3668,1663,7280,13843.0,0.475377747252748
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,1,GORILLA,UNCOMPRESSED,232676,725,1250,1330,7280,30836.0,1.0589285714285699
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,1,RLBE,UNCOMPRESSED,7070777,211118,4250,2257,7280,24203.0,0.8311469780219771
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,1,CHIMP,UNCOMPRESSED,161765,1300,1456,1670,7280,12560.0,0.431318681318681
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle1.csv,1,BUFF,UNCOMPRESSED,408158,3888,1207,1128,7280,13666.0,0.4692994505494499
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,1,PLAIN,UNCOMPRESSED,52454,36187,959,1410,7280,7935.0,0.27249313186813146
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,1,TS_2DIFF,UNCOMPRESSED,44340,36995,1165,1625,7280,7493.0,0.2573145604395605
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,1,RLE,UNCOMPRESSED,112278,44189,1789,1123,7280,6400.0,0.21978021978021933
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,1,SPRINTZ,UNCOMPRESSED,371808,127576,1087,1456,7280,6621.0,0.22736950549450538
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,1,GORILLA,UNCOMPRESSED,72638,532,1336,1701,7280,7225.0,0.24811126373626366
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,1,RLBE,UNCOMPRESSED,6653883,195566,1416,2370,7280,19801.0,0.6799793956043965
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,1,CHIMP,UNCOMPRESSED,116763,802,1292,1621,7280,8249.0,0.2832760989010986
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle3.csv,1,BUFF,UNCOMPRESSED,189946,1698,1501,585,7280,6386.0,0.21929945054945
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,1,PLAIN,UNCOMPRESSED,75265,41679,1417,1540,7280,11951.0,0.41040521978022054
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,1,TS_2DIFF,UNCOMPRESSED,58911,50842,1416,1958,7280,12714.0,0.4366071428571422
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,1,RLE,UNCOMPRESSED,129822,46714,1290,1541,7280,9536.0,0.3274725274725271
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,1,SPRINTZ,UNCOMPRESSED,414487,137506,1417,1368,7280,10398.0,0.3570741758241762
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,1,GORILLA,UNCOMPRESSED,87985,511,1083,1624,7280,9747.0,0.33471840659340674
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,1,RLBE,UNCOMPRESSED,4482134,165183,1209,2371,7280,16695.0,0.573317307692307
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,1,CHIMP,UNCOMPRESSED,141604,1192,1835,1214,7280,11245.0,0.38616071428571475
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle2.csv,1,BUFF,UNCOMPRESSED,355299,2989,1003,1003,7280,11846.0,0.4067994505494499
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,1,PLAIN,UNCOMPRESSED,88164,39097,1417,1623,7280,14242.0,0.489079670329671
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,1,TS_2DIFF,UNCOMPRESSED,54142,45795,1123,1586,7280,10769.0,0.3698145604395606
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,1,RLE,UNCOMPRESSED,125652,57262,1709,1165,7280,27253.0,0.9358859890109881
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,1,SPRINTZ,UNCOMPRESSED,394515,130845,1160,1665,7280,8836.0,0.30343406593406624
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,1,GORILLA,UNCOMPRESSED,186392,728,1545,1375,7280,24083.0,0.8270260989011002
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,1,RLBE,UNCOMPRESSED,5599554,182335,4914,2707,7280,17682.0,0.6072115384615396
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,1,CHIMP,UNCOMPRESSED,130297,949,1418,1415,7280,9258.0,0.3179258241758236
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Cyber-Vehicle/syndata_vehicle4.csv,1,BUFF,UNCOMPRESSED,280403,2568,1419,1042,7280,10026.0,0.3442994505494499
