Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,PLAIN,UNCOMPRESSED,295812,177036,1543,1958,25224,45103.0,0.4470246590548684
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,TS_2DIFF,UNCOMPRESSED,210319,183317,1590,1746,25224,49132.0,0.48695686647637126
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,RLE,UNCOMPRESSED,562694,166713,1207,1624,25224,50554.0,0.5010505867427851
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,SPRINTZ,UNCOMPRESSED,1561188,647816,1544,1667,25224,41386.0,0.41018474468759847
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,GORILLA,UNCOMPRESSED,447967,2079,1246,1251,25224,56156.0,0.5565731049793853
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,RLBE,UNCOMPRESSED,22399513,739097,4208,2212,25224,83963.0,0.8321737234379947
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,CHIMP,UNCOMPRESSED,536289,3826,1541,1589,25224,39018.0,0.3867150333016175
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_2.csv,1,BUFF,UNCOMPRESSED,1454450,9662,1252,999,25224,50464.0,0.5001585791309872
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,PLAIN,UNCOMPRESSED,1151355,692106,1794,5955,99999,178934.0,0.4473394733947343
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,TS_2DIFF,UNCOMPRESSED,807822,696532,1583,1499,99999,184374.0,0.460939609396093
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,RLE,UNCOMPRESSED,2351762,672200,1205,1502,99999,212902.0,0.5322603226032269
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,SPRINTZ,UNCOMPRESSED,6163607,2573858,1625,1583,99999,159140.0,0.3978539785397856
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,GORILLA,UNCOMPRESSED,1819842,7493,1338,1499,99999,227051.0,0.5676331763317625
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,RLBE,UNCOMPRESSED,87750288,2988617,1205,8290,99999,332198.0,0.830503305033049
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,CHIMP,UNCOMPRESSED,2104026,15522,1583,1420,99999,153133.0,0.3828363283632831
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_1.csv,1,BUFF,UNCOMPRESSED,6160630,45867,2000,1041,99999,212514.0,0.5312903129031296
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,PLAIN,UNCOMPRESSED,1126682,747939,1709,1578,99999,172329.0,0.43082680826808223
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,TS_2DIFF,UNCOMPRESSED,810079,694347,1457,1337,99999,193453.0,0.4836373363733633
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,RLE,UNCOMPRESSED,2293556,669112,1583,1790,99999,212091.0,0.5302328023280226
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,SPRINTZ,UNCOMPRESSED,6199235,2705361,1503,1544,99999,160993.0,0.40248652486524833
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,GORILLA,UNCOMPRESSED,1801831,7938,1876,1542,99999,217679.0,0.5442029420294214
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,RLBE,UNCOMPRESSED,85443594,2957519,1206,2083,99999,330488.0,0.8262282622826248
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,CHIMP,UNCOMPRESSED,2125262,15610,1287,1586,99999,151497.0,0.3787462874628745
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/EPM-Education/epm_0.csv,1,BUFF,UNCOMPRESSED,6012940,44760,1456,1295,99999,212514.0,0.5312903129031296
