Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,PLAIN,UNCOMPRESSED,335574,105357,1125,1246,18353,54711.0,0.7452596305781057
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,TS_2DIFF,UNCOMPRESSED,155020,133610,1416,1755,18353,41775.0,0.5690486568953314
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,RLE,UNCOMPRESSED,312920,129501,1293,1917,18353,43683.0,0.5950389582084682
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,SPRINTZ,UNCOMPRESSED,1121842,363815,1208,1622,18353,38236.0,0.5208412793548743
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,GORILLA,UNCOMPRESSED,374384,1551,1376,1454,18353,46913.0,0.639037214624311
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,RLBE,UNCOMPRESSED,15439565,536417,13129,2077,18353,62088.0,0.8457472892715096
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,CHIMP,UNCOMPRESSED,458341,3232,1711,1373,18353,37840.0,0.5154470658747884
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic0.csv,1,BUFF,UNCOMPRESSED,1468717,13103,2502,792,18353,43605.0,0.5939764616139057
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,PLAIN,UNCOMPRESSED,1065029,337575,1622,1752,58373,170222.0,0.7290271187021397
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,TS_2DIFF,UNCOMPRESSED,510026,441948,1745,1916,58373,136862.0,0.5861528446370765
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,RLE,UNCOMPRESSED,830779,358995,1581,1874,58373,78683.0,0.3369837082212675
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,SPRINTZ,UNCOMPRESSED,3369849,1087554,792,1588,58373,80391.0,0.3442987340037354
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,GORILLA,UNCOMPRESSED,639798,3648,1868,2126,58373,65957.0,0.2824807702191086
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,RLBE,UNCOMPRESSED,24680197,974375,1421,1795,58373,86819.0,0.3718285851335377
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,CHIMP,UNCOMPRESSED,1055132,7537,1251,1663,58373,83301.0,0.35676168776660433
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic1.csv,1,BUFF,UNCOMPRESSED,4601135,35815,1837,1336,58373,138652.0,0.5938190601819343
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,PLAIN,UNCOMPRESSED,1069340,339431,1668,1545,58373,170222.0,0.7290271187021397
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,TS_2DIFF,UNCOMPRESSED,505811,442633,1331,1751,58373,136862.0,0.5861528446370765
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,RLE,UNCOMPRESSED,841487,355151,1543,1793,58373,78683.0,0.3369837082212675
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,SPRINTZ,UNCOMPRESSED,3399053,1064996,1123,2038,58373,80391.0,0.3442987340037354
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/GW-Magnetic/syndata_magnetic3.csv,1,GORILLA,UNCOMPRESSED,651852,3419,1577,1713,58373,65957.0,0.2824807702191086
