Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,1,PLAIN,UNCOMPRESSED,194198,104947,4955,6626,3710,14528.0,0.9789757412398926
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,1,TS_2DIFF,UNCOMPRESSED,382093,347888,8577,9041,3710,9255.0,0.6236522911051224
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,1,RLE,UNCOMPRESSED,474512,198898,10709,7701,3710,11155.0,0.7516846361185974
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,1,SPRINTZ,UNCOMPRESSED,609757,312649,3211,5584,3710,11222.0,0.7561994609164426
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,1,GORILLA,UNCOMPRESSED,355883,9101,3204,5164,3710,11305.0,0.7617924528301881
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,1,RLBE,UNCOMPRESSED,5836966,159889,13497,4581,3710,13616.0,0.9175202156334215
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,1,CHIMP,UNCOMPRESSED,306013,9777,2670,4988,3710,9799.0,0.6603099730458213
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks2.csv,1,BUFF,UNCOMPRESSED,856342,11227,1579,1911,3710,11146.0,0.751078167115902
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,1,PLAIN,UNCOMPRESSED,215094,109187,3045,4501,3710,11130.0,0.75
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,1,TS_2DIFF,UNCOMPRESSED,374035,100316,2166,3257,3710,6671.0,0.4495283018867932
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,1,RLE,UNCOMPRESSED,1076727,40360,1500,4124,3710,7907.0,0.5328167115902979
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,1,SPRINTZ,UNCOMPRESSED,232603,71549,1501,1334,3710,6615.0,0.44575471698113245
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,1,GORILLA,UNCOMPRESSED,69727,1116,1545,1541,3710,8775.0,0.5913072776280329
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,1,RLBE,UNCOMPRESSED,3629747,105803,1372,1958,3710,12193.0,0.8216307277628039
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,1,CHIMP,UNCOMPRESSED,69442,1623,1544,1497,3710,6848.0,0.4614555256064682
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/Nifty-Stocks/syndata_stocks1.csv,1,BUFF,UNCOMPRESSED,236930,5072,1417,1417,3710,7900.0,0.5323450134770892
