Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,1,PLAIN,UNCOMPRESSED,853895,462984,1206,1709,58531,135253.0,0.5776981428644636
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,1,TS_2DIFF,UNCOMPRESSED,482609,419324,1376,1751,58531,108740.0,0.46445473338914467
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,1,RLE,UNCOMPRESSED,951611,388371,1621,1168,58531,104425.0,0.4460243289880575
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,1,SPRINTZ,UNCOMPRESSED,3496248,1212567,1128,2002,58531,108276.0,0.4624728776204065
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,1,GORILLA,UNCOMPRESSED,937590,4873,1669,1207,58531,113110.0,0.4831200560386796
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,1,RLBE,UNCOMPRESSED,46872313,1595177,1705,2414,58531,185172.0,0.7909142163981489
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,1,CHIMP,UNCOMPRESSED,1370345,10007,1504,1501,58531,104955.0,0.4482880866549342
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel4.csv,1,BUFF,UNCOMPRESSED,3454447,30170,1415,1086,58531,109762.0,0.46881994156942386
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,1,PLAIN,UNCOMPRESSED,907201,448580,1376,1499,58531,142626.0,0.6091900018793467
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Fuel/syndata_fuel3.csv,1,TS_2DIFF,UNCOMPRESSED,520094,453340,1420,1549,58531,139042.0,0.5938818745621987
