Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,1,PLAIN,UNCOMPRESSED,199504,122614,1330,1751,29512,29512.0,0.25
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,1,TS_2DIFF,UNCOMPRESSED,205418,169949,1999,1419,29512,23467.0,0.19879201680672273
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,1,RLE,UNCOMPRESSED,440032,173217,1461,1167,29512,20647.0,0.17490342911358073
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,1,SPRINTZ,UNCOMPRESSED,1484143,482327,1085,1710,29512,22476.0,0.19039712659257224
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,1,GORILLA,UNCOMPRESSED,258292,1824,836,1418,29512,24507.0,0.20760199240986693
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,1,RLBE,UNCOMPRESSED,24506860,678658,2542,2166,29512,77503.0,0.656538018433181
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,1,CHIMP,UNCOMPRESSED,391257,2629,1250,1622,29512,31309.0,0.26522262130658775
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport3.csv,1,BUFF,UNCOMPRESSED,694040,4840,1503,1497,29512,22150.0,0.18763553808620193
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,1,PLAIN,UNCOMPRESSED,345874,212418,1463,1956,51222,51222.0,0.25
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,1,TS_2DIFF,UNCOMPRESSED,343985,286806,2000,1248,51222,39430.0,0.19244660497442478
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,1,RLE,UNCOMPRESSED,777054,302322,1414,1415,51222,33595.0,0.16396763109601367
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,1,SPRINTZ,UNCOMPRESSED,2548229,832959,1126,1582,51222,38282.0,0.18684354378977758
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,1,GORILLA,UNCOMPRESSED,427321,3085,1170,1961,51222,25204.0,0.12301354886572162
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,1,RLBE,UNCOMPRESSED,28658174,872966,1371,2337,51222,80723.0,0.39398598258560746
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,1,CHIMP,UNCOMPRESSED,654960,4602,1167,1747,51222,53574.0,0.2614794424270815
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport0.csv,1,BUFF,UNCOMPRESSED,1057292,5900,1669,1876,51222,38433.0,0.187580531802741
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,1,PLAIN,UNCOMPRESSED,607451,315345,1333,1790,51222,94878.0,0.4630725079067588
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,1,TS_2DIFF,UNCOMPRESSED,378078,317429,1291,1789,51222,64927.0,0.31689020342821483
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,1,RLE,UNCOMPRESSED,973047,319402,1706,1746,51222,57584.0,0.2810511108508066
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,1,SPRINTZ,UNCOMPRESSED,2838386,1096359,1287,1663,51222,63774.0,0.31126273866697923
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/TY-Transport/syndata_transport1.csv,1,GORILLA,UNCOMPRESSED,551602,3812,1538,1625,51222,48265.0,0.23556772480574753
