Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Points,Compressed Size,Compression Ratio
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,PLAIN,UNCOMPRESSED,954045,440347,1293,1960,75809,151533.0,0.4997196902742408
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,TS_2DIFF,UNCOMPRESSED,641675,545948,997,1459,75809,143849.0,0.47437969106570493
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,RLE,UNCOMPRESSED,1286509,601450,1575,1505,75809,303570.0,1.0011014523341546
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,SPRINTZ,UNCOMPRESSED,4613407,1553673,1459,1872,75809,148178.0,0.48865570051049245
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,GORILLA,UNCOMPRESSED,2292382,7418,1462,1038,75809,312577.0,1.03080438998008
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,RLBE,UNCOMPRESSED,66534096,2199013,1127,5248,75809,257644.0,0.8496484586262857
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,CHIMP,UNCOMPRESSED,1866411,17596,1789,1376,75809,147449.0,0.48625163239193314
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes0.csv,1,BUFF,UNCOMPRESSED,4137454,33698,1291,1463,75809,132682.0,0.43755358862404153
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,PLAIN,UNCOMPRESSED,1356347,529520,1460,1751,75809,220664.0,0.7276972391140883
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,TS_2DIFF,UNCOMPRESSED,603454,516506,1709,1460,75809,157324.0,0.5188170270020716
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,RLE,UNCOMPRESSED,1285667,596921,1326,1717,75809,303486.0,1.0008244403698783
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,SPRINTZ,UNCOMPRESSED,4767926,1573244,1461,2039,75809,192162.0,0.6337044414251597
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,GORILLA,UNCOMPRESSED,2331407,7242,1334,1542,75809,313383.0,1.0334623857325633
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,RLBE,UNCOMPRESSED,68310095,2167115,1124,1625,75809,261661.0,0.8628955664894691
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,CHIMP,UNCOMPRESSED,1908600,13310,999,1911,75809,155752.0,0.5136329459562838
/Users/zihanguo/Downloads/R/outlier/outliier_code/encoding-outlier/trans_data/USGS-Earthquakes/syndata_earthquakes1.csv,1,BUFF,UNCOMPRESSED,4442229,30046,1706,1915,75809,151634.0,0.5000527641836716
